,Unnamed: 0,artist,lyrics,tag,title,x_coordinate,y_coordinate,year
16,16,Dot Dot Curve,"Cannot believe you bought this fucking cd
Fucking faggots
Fucking assholes
Fucking skinny jeans suck so bad
His cartoon is ass
Trynna get crunk with girl jeans and a girl tee what the fuck
What an idiot
His hair is pretty fucked up
He looks like its halloween every fucking day
Fucking faggot
Asshole thinks hes so much hot shit
Calls himself the sex
That shit looks fucking stupid bitch
Fucking wack ass bitch
Dot dot curve my dick
I bet hes got 2 tone pubes
I dont think he has pubes though I shaved them once
Fucking dot dot curve this dick
Fuck his hair fuck his music and his stupid ass jeans
Yo nigga",rap,Hanh,-0.7,0.8,2008
20,20,Gensu Dean & Denmark Vessey,"Salutations, neighbourhood rappin ass nig's
My powers include turnin' rats to bad bitches
Pumpkins to whips and Crocs to glass slippers
Committed crimes repeat 'em at your sad ripper
And, ooh, as soon as I jump on the scene
I'm droppin' jewels like stool, like property value
Dog, this ain't no album, I'm droppin a how-to
How to catch a cab with a brown hue

Swarthy and sexy, that's right, I'm a sex symbol
I even pierce the peck nipple
International, I used to live in the van now I'm big in Japan
And I'm gettin' all the web pixels

Morrey, Black god
Trinidad bod with the paddy swag and the sweat trickle
So Blue Steel pose look, and the full frontal on the cover of Good Housekeeping and next Season

Top five tips on how to speak in the trap house
(Top five tips)
In the ghetto
(In the ghetto)
In the world's ghetto
(The world's a ghetto)
A magazine with your face on it
[Chorus]
Bang, bang-emoji
Bang, gun-emoji
Bang, bang-emoji
Bang, gun-emoji

Old heads said ""we used to swang them things""
But now we bang emoji, we gun emoji
Truthfully, ain't nothin' do it better than son, emoji
You ain't got to lie, keep it one hundred 'moji

Your name in the magazine with you face on it

[Chorus]
Yeah, bang-emoji
Yeah, gun-emoji
Yeah, bang-emoji
Yeah, gun-emoji

Peep, this ain't rap my G's, this is Newspeak
Think poor all on my po' cause I don't groupthink
Think poor kick in my door, like ""freeze moolie""
Mugshots spread was in Newsweek
Now, on the count of three
Cheese, moolie who shot ya?
Jack Ruby Apache, bla-bla, on national TV
Who shot ya?
Man, don't ask me, you seen the same clips I seen
It was broad day light, who do you think?
Caveat boo
You better not get famous the wrong way
Dick Tracey ain't gon' make this no long day
Plant emota speak of the coca
Headlines read, ""Mad man strung out on day, in a strong way""
The law got a long arm length, and niggas getting shot everyday, B
All day, PA-PA
Oh, I see now what the song say

Back in the day
Photoshop
Back in the day
Photoprop
Back in the day
Photoshop
Back in the day
Photoprop
Back in the day
Photoshop
Back in the day
Photoprop
Back in the day
Photoshop

[Chorus]
Bang-emoji
Yeah, gun-emoji
Yeah, bang-emoji
Yeah, gun-emoji
Top five tips
In the ghetto
The world's a ghetto",rap,Gun Emoji Bang,-0.4,0.3,2018
21,21,Thouxanbanfauni,"[Chorus]
I ain't never satisfied but I try to be
Posted up outside with them sticks, them bullets bumblebee
Had to hit Mohammed Ali, ain't no dodging these
AR-15 [?] spit them .223's
Armed and dangerous, I feel like Buddha, all these dots on me
Tryna' build a case against your boy, so they watching me
Undercover cars following me so they could build a lead
First, they gotta' catch up, SRT got super speed

[Verse]
When you behind that wall, in them handcuffs, in them shackles you gon' see who love you for real and who got your back
Thought he was my brother but he cracked [?]
Fauni why you always so distant? I can't be attachеd
Gang-gang with them rags, don't throw in the towel, fuck a whitе flag
Beefing and trolling, up on the net, don't do that
All in my mentions, just like Twitter we gon' find where you're at
Internet gangster, call you IG, you get touched and tagged
Pussy lil' boy we know you work at the mall and where your momma at
You could go to church, get baptized, just can't save your ass
[Chorus]
I ain't never satisfied but I try to be
Posted up outside with them sticks, them bullets bumblebee
Had to hit Mohammed Ali, ain't no dodging these
AR-15 [?] spit them .223's
Armed and dangerous, I feel like Buddha, all these dots on me
Tryna' build a case against your boy, so they watching me
Undercover cars following me so they could build a lead
First, they gotta' catch up, SRT got super speed",rap,BUDDAH ARMS,-0.6,0.4,2022
23,23,DAJ,"Im a make them pick ways
I might move it out to biscayne
I ain’t never scared of no fade
And it’s all real, no faze
I might cop a play
Ran up a new spot today
Caravans in a Escalade like a escapade
No tax, fuck Uncle Sam I’m on my taliban
Baby hand me a couple bands because she a fan
On my grown man, feeling grand tryna buy the land
And the sand, and I’ll bring the fam
They gone need a tan
God damn, everything got to be superior
Sleep is the cousin of death and I’m out here delirious
Kill streak, I got that red dot if niggas curious
I ain’t worried, they gone bust shots if niggas fearing us
Broke bitch, she on some broke shit
That shit is weird to us
I’m just about my green like kale, spinach, asparagus
Aye
I just want my cake like a fat dude
I’m the nigga your choosey bitch gave them bands to
And they wonder why it’s so many bitches we ran through
One percent, I’ll show you the steps like its dance school
Chorus:
OGs told me be a savage
Aye nigga be a savage
Tell that young nigga be a savage
Tell that nigga be a savage
He gone have to be a fucking savage
If he gone last up out here, be a savage
If you gone last out here, be a savage (savage)
Last out here, be a savage
Last out here, be a savage",rap,Lasting,0.1,0.3,2018
24,24,Tobbz,"I don’t care if you’ve got a bally on
Man like me you don’t know what I’m on
Got mans that do obia and voodoo
Carry with them the Glock and Juju
My girl bad she’s crazy like Tulip
This ain’t holloween real goosebumps
Boo Boo
On d roads this days all U hear is TuuTuu
Need a OG to come calm this yutes

Common
This yutes talk alot about .44
Shanking a next man in the backdoor
Innocent body drop dead on the floor
Mistook a next man for his own opp
‘Member soda used to be the real pop
Drop a man down paww paww is the new sound
Vacay in Paris tales of being canned
South central thought me a lot more
Never been a shooter just a roadman
I fuck with everyone I’ve got a big hand
No affiliation I ain’t no gang
I pray I don’t get shot or shanked
Got a lot planned all up in my mind
Still got a lot of mountain I’m trynna climb
Seek a lot of things yeah yeaah I gotta find
This generation man I fear for
Yeaah I fear for

Dem man live life so reckless
So reckless

This yutes live life with no care
Noo noo

Lot of mom done buried there kids
Instead kids burying their parents
Still claiming you got love for the streets
If it goes south the street ain’t gat u
Michael Myers still got mans Flenched

Together we push
Together we can win

Stop this massacre this ain’t Halloween",rap,No Offence,-0.5,0.4,2019
26,26,FORTYTEN,"[Chorus]
Bitch I'm in the uh, in the field again, aye
I'm just poppin thru I'll keep it real again, aye
See me on the street, they like who dat is aye
Fuck a million I'm tryna get these billions, aye
Damn I'm in the field again
Aye, damn, I'm in the field again
Aye Damn, I'm in the field again
In the field again, in the field again

[Verse 1]
Yes I'm back
Once again
Tell a friend
Goin in
For the win ho
Simple
Don't give less I give mo
I ain't tryna insult
Breezy feel the wind blow
Killin every motherfuckin instrumental, mm
When I blow it will not be coincidental, mm
Gotta pedal to the metal, gotta pedal for the medal, doin everything I gotta get the medal, mm
Always plusin I ain't tryna minus
I'm the main but I'm not a lion
This a party and you not invited
See my ride I be hoppin right in
Yes I get around like a taxi cab, aye
All these rappers hoes they need maxi pads, aye
I can't never rest no I can't relax, aye
Tryna grab these racks and be passing class, aye
Do this shit so precise
This shit is a delight
I be tryna reach heights
That go higher than the sky
Goin foward can't rewind
So so smooth wit each line
You be hatin cuz u broke, yo card be gettin declined
[Chorus]
Bitch I'm in the uh, in the field again, aye
I'm just poppin thru I'll keep it real again, aye
See me on the street, they like who dat is aye
Fuck a million I'm tryna get these billions, aye
Damn I'm in the field again
Aye, damn, I'm in the field again
Aye Damn, I'm in the field again
In the field again, in the field again

[Verse 2]
I keep clean I keep polished
Yehh this shit for me is common
Really I been on my boss shit
Takin off like imma rocket
Ain't nobody fly as this
Ride this shit, No cyclist
You been wit me since day one?, Try again you lyin bitch
In the trenches stackin ammunition
The opposition in a bad position
Im Always on lock while they lack precision
I'm goin in they won't last a minute
They be hatin cause the green is risin
See my enemies on the horizon
I am the goat they call me Muhammad
Bitch I been a monster, I'm just bein honest
Don't know why u gotta hate tryna work for this shit and I'm tryna cop newer diamonds
Ain't no one stoppin me I want the throne and I comin in hot goin supersonic
Everyday is the next assignment
Shine so hard you had to check the brightness
Eat these flows, you the next to bite it
Get a beat and then I get to rhymin
Slick wit the beats
Wanna get lit bitch listen to me
Ain't missin a 2 I ain't missin a 3
Nothin but net bitch u missin the free
Throws, they do not get the message
Takin the ball Like an interception
It gets competitive, Bitch I'm wreckin this
Shut it lil bitch I'm the shit you've never been, uh
[Chorus]
Bitch I'm in the uh, in the field again, aye
I'm just poppin thru I'll keep it real again, aye
See me on the street, they like who dat is aye
Fuck a million I'm tryna get these billions, aye
Damn I'm in the field again
Aye, damn, I'm in the field again
Aye Damn, I'm in the field again
In the field again, in the field again (X2)",rap,In The Field Again,0.4,0.3,2019
27,27,Tori2x,"I told that bitch to come up
I told that bitch stay away
I been counting up all this guwop
Get that little bitch the fuck out my face

Nigga wanna talk down
He get shot out of his fucking shirt
I told that pussy ass nigga
Go back on the block
If you don't wanna get murked
I told that pussy ass nigga
Don't talk down on my name
Put you in the dirt
I ride with the heatta
I ride with that Nina
Me and my niggas we putting in work

I like my bullets with weight
150 grain just for a plate
Tough on the net
Caught that boy walking
I had my X
Now that boy crawling
Then I'm gone for a week
Book a flight to New Orleans
Come back in the morning
Brand new AR it go where I want it
Drum mag to big can't even flaunt it
Told that bitch to stay away
From me and my guys
You know we got mob ties

Told that bitch to stay away
From me and my guys
You know we got mob ties

I like my bullеts with weight
150 grain just for a plate
Tough on the nеt
Caught that boy walking
I had my X
Now that boy crawling
Then I'm gone for a week
Book a flight to New Orleans
Come back in the morning
Brand new AR it go where I want it

Nigga wanna talk down
He get shot out of his fucking shirt
I told that pussy ass nigga
Go back on the block
If you don't wanna get murked
I told that pussy ass nigga
Don't talk down on my name
Put you in the dirt
I ride with the heatta
I ride with that Nina
Me and my niggas we putting in work
I ride with the heatta
I ride with that Nina
Me and my niggas we putting in work

I ride with the heatta
I ride with that Nina
Me and my niggas we putting in work",rap,Exodia,-0.5,0.7,2022
28,28,Shama Mrema & PD Bachmann,"[Verse 1]
Joy to the world, the Lord has come
Let earth receive her King
Let every heart prepare Him room
And heaven and nature sing, and heaven and nature sing
And heaven, and heaven and nature sing",rap,Joy to the World,0.8,-0.3,2019
29,29,Eli juggz,"I just got to the top floor, and the view was beautiful
I just seen this one girl, she so beautiful
I just got to the top floor, and the view was beautiful
I got used to the lifestyle, do this shit on the usual",rap,​​thelifestyle,0.7,0.4,2021
30,30,Ty-Mitch,"[Verse 1]
Mitchycon for the top spot
Imma leave these bitches at the chop shop
Independent, Mitchy winning, records spinning
But when you pretty they label you a thot box
Bitches don’t cop so, they cock block
These niggas mad cause they not topping me so
Keep yah dick pics I got dick here
Thick here Mitchy keep em bussin like
Pop pop
Take a seat, bitch it’s my go
For what I’m generating, imma break the cylce
He in the dms wanna d him
2020 man the only thing I’m fucking is a FICO
I’m MJ, Tyson
Bitches can’t face em
You don’t wanna smoke bitch
Need a hit I lace em
Got the fattest sacrum
Dripping let em taste sum
Mitchy with the high hats
Killer of the bass drum
Anything I want he gonna footy that
After I loosen up his buttons like a Pussy Cat
He said ""Mitchy I ain’t plan to love you but I could see that""
I said ""nigga pay a fucking tension where the pussy at""
How it feel nigga he said ""suede leather""
All these niggas wanna cut cause my fades better
All these bitches wages minimum, I’m paid better
Check the record bitch call me Mitchy Mayweather
Said he wanna pop, Mitchy imma pricy pill
Only ride if he chillin on some icy wheels
Anyway it shuffle you know I get icy deals
Imma kill em you ain’t even gotta price the bill
Now this the last freestyle before album drop
Bitches better pop before my album drop
You bitches better start cause my album stops
When it drops they gone fucking wanna album swap
[Chorus]
Bitches get funny when they smell money
Suck it up let me bump threw yah speaka
Bitches get funny when they smell money
Mitchycon wit a sprinkle of ratchita

Bitches get funny when they smell money
Suck it up let me bump threw yah speaka
Bitches get funny when they smell money
Mitchycon wit a sprinkle of ratchita

[Post Chorus]
Let me bust it down for the one time
All these niggas begging to hit for one time
Imma have to direct bitches to the bum line
If he cute then he might can hit it one time

Ayo
Let me bust it down for the one time
All these niggas begging to hit for one time
Imma have to direct bitches to the bum line
If he cute then he might can hit it one time

[Chorus]
Bitches get funny when they smell money
Suck it up let me bump threw yah speaka
Bitches get funny when they smell money
Mitchycon wit a sprinkle of ratchita
Bitches get funny when they smell money
Suck it up let me bump threw yah speaka
Bitches get funny when they smell money
Mitchycon wit a sprinkle of ratchita

[Bridge]
Hold up
Let me pop my pussy
Let me pop my pussy
Let me let me
Let me pop my pussy
Let me pop my pussy
Let me let me

Let me pop my pussy
Let me pop my pussy
Let me let me
Let me pop my pussy
Let me pop my pussy
Let me let me

Let me pop my pussy
Let me pop my pussy
Let me let me
Let me pop my pussy
Let me pop my pussy
Let me let me
Mitchycon 2020 if a bitch get mad then she gotta smell money

[Chorus]
Bitches get funny when they smell money
Suck it up let me bump threw yah speaka
Bitches get funny when they smell money
Mitchycon wit a sprinkle of ratchita

Bitches get funny when they smell money
Suck it up let me bump threw yah speaka
Bitches get funny when they smell money
Mitchycon wit a sprinkle of ratchita

[Outro]
Ayo
Let me bust it down for the one time
All these niggas begging to hit for one time
Imma have to direct bitches to the bum line
If he cute then he might can hit it one time",rap,Ratchita,-0.3,0.6,2020
