,title,tag,artist,year,x_coordinate,y_coordinate
365,Blur,rb,Girlish,2019,-0.7,0.6
366,Unashamed,rb,Whitney Houston,2002,0.9,-0.2
367,Eliza Evilsiza,rb,Micah Kesselring,2021,-0.7,0.6
368,Jealous,rb,Keke Palmer,2016,-0.6,0.5
369,Im So In Love,rb,SWV,1996,-0.4,0.7
370,I Do,rb,Boyz II Men,2000,0.7,0.9
371,Forever My Lady K-Ci’s Drum,rb,Jodeci,1991,0.7,0.9
372,Dried Petals,rb,Audrey Sherman,2021,0.8,-0.5
373,Midway,rb,Kofi the kyd,2019,0.6,-0.4
374,Time,rb,GALLO,2020,-0.8,-0.5
375,Good Firends,rb,Alex J. Price,2017,-0.7,0.6
376,Girl Code,rb,Tellemtee,2021,-0.7,0.6
377,Take a minute,rb,LilBoyzie,2019,0.9,-0.2
378,This Will Have to Do Until the Real Thing Comes Along,rb,Wilbert Harrison,1970,0.7,0.9
379,Escape,rb,JaMyron Minor,2021,-0.8,-0.5
380,Together We Can Make Such Sweet Music,rb,The Supremes & The Four Tops,1970,0.8,0.3
381,Family,rb,Goldie love,1992,0.8,0.3
382,I Bet You,rb,James Cook,2015,0.3,0.7
383,Whistle,rb,Jonn Hart,2018,0.3,0.7
384,Human Sacrifice,rb,Childish Gambino,2018,-0.8,-0.5
385,The Stages,rb,Cosmoofficially,2021,0.9,-0.2
386,Re-Write the Memories,rb,New Edition,2004,-0.7,0.6
387,20 Something,rb,Olivia King,2021,-0.4,0.7
388,Better,rb,Chastity (Chazz),2021,0.1,-0.7
389,X 1 Thing Wrong,rb,JoJo,2020,-0.6,0.5
390,One Night Lover,rb,Tory Lanez,2010,0.3,0.7
391,Numb,rb,Mack Keane,2019,0.1,-0.7
392,L.M.O.D.,rb,Dez Wave,2019,-0.6,0.5
393,Stay With Me,rb,KNNDYGRN,2018,-0.7,0.6
394,If I Hit,rb,112,2005,-0.7,-0.7
395,Patience,rb,Leon Hlabathi,2020,0.8,-0.5
396,Antidote,rb,Jeangu Macrooy,2017,0.1,-0.7
397,Away,rb,Nivea,2019,-0.7,-0.3
398,So You Need Me Now?,rb,Vaishalini,2021,-0.6,0.7
399,Every Time I Look Behind,rb,Nappy Camper,2017,-0.8,-0.3
400,Hold On to Me,rb,Kyle Dion,2016,-0.8,-0.1
401,Retrograde,rb,Berry Gum,2019,-0.2,0.7
402,Philosophies,rb,Joey Diamond,2019,-0.6,0.5
403,Oh No She Didnt,rb,Isyss,2002,-0.6,0.7
404,Dancing Slow,rb,Martha Reeves & The Vandellas,1964,0.6,-0.4
405,Until The Day Of,rb,Lenis,2017,0.9,0.2
406,I Wanna Do Things For You,rb,Eddie Floyd,1973,0.9,-0.2
407,Better than the real thing,rb,Snoozegod,2019,0.7,0.6
408,Last Thing I Do,rb,Casimir Cadence,2021,-0.7,0.3
409,DONT TELL ME,rb,TWONIEB,2021,0.3,0.7
410,Love Will Never Do Without You Work It Out 7,rb,Janet Jackson,1990,0.9,-0.2
411,Cherry Live At Shepherd’s Bush Empire London / 2007,rb,Amy Winehouse,2007,-0.7,0.6
412,Aloevera,rb,FRVRFRIDAY,2017,-0.6,0.5
413,Nani,rb,IDRYS,2017,0.3,0.7
414,A Song of Faith,rb,Yolanda Adams,2001,0.6,-0.4
415,Medicine.,rb,LoNEly iS hUNteR,2019,0.9,-0.2
416,Im Prison Bound,rb,Sunnyland Slim,1961,-0.8,-0.1
417,Rocket Ship,rb,Max Wonders,2016,-0.4,0.7
418,NTS 95,rb,Chrisstopher,2016,0.7,0.9
419,Power Back,rb,Mary J. Blige,2014,0.7,0.9
420,Company,rb,Trey Songz,2015,-0.8,-0.3
421,Bustin Loose,rb,Chuck Brown And The Soul Searchers,1979,0.3,0.7
422,After You Leave Girl,rb,The Jackson 5,2012,-0.7,0.6
423,The Judgement Come,rb,Cornell Campbell,1978,-0.8,-0.1
424,Forget About Me,rb,Angie Stone,2015,-0.8,-0.5
425,All You Need,rb,Victoria Mont,2018,0.9,-0.2
426,Love Fire Desire,rb,Dream Coterie,2020,0.1,-0.7
427,Watching You,rb,Slave,1980,0.3,0.7
428,Foolish,rb,Jalisa,2018,-0.7,0.6
429,Keep It Real,rb,Marmar Oso,2020,-0.7,0.6
430,Get What You Want,rb,Sir Woman,2022,-0.7,0.3
431,Im a female producer/singer. I need advice on this Drake/Jhene Aiko style track...,rb,Rachel Lehcar,2016,0.7,0.9
432,Going To the Hop,rb,The Satintones,1959,0.9,0.6
433,I’m Afraid The Masquerade is Over,rb,David Porter,1971,-0.4,0.7
434,Cool My Desire,rb,The Cheques,1969,0.3,0.7
435,The Time We Have,rb,O.V. Wright,1977,0.3,0.7
436,Fall In Love With Imperfections interlude,rb,Kill_Swxtch,2019,-0.7,0.6
437,Running Back,rb,ENI (IAMENI),2017,-0.6,0.7
438,Bush Doctor,rb,Peter Tosh,1978,-0.6,0.5
439,Waste,rb,Deadvoss,2019,-0.8,-0.3
440,Not A Love Song Prelude,rb,Jay Clique,2020,0.9,-0.2
441,Down Bad,rb,Sellous,2019,0.3,0.7
442,THE WORLD IS YOURS,rb,Yexwxrld,2020,0.7,0.9
443,The Girl Named Grey,rb,svrite,2018,0.8,0.3
444,The Addition to Blues,rb,Doug MacLeod,2008,0.2,1.0
445,Bad things,rb,LoNEly iS hUNteR,2019,0.7,0.9
446,FYRE,rb,Some.Unique.Individual,2021,-0.3,-0.7
447,Kidnapped,rb,Ginuwine,2011,0.3,0.7
448,Sun,rb,Safa Liron,2019,-0.8,-0.1
449,Fuk iz goin on ?,rb,Latelatekuro,2017,0.2,1.0
450,And I Love Him,rb,Nyah Grace,2020,0.1,-0.7
451,Serve This Royalty,rb,The Weeknd,2019,0.7,0.9
452,8PM in Pretoria,rb,Lucious Lark,2020,0.3,0.7
453,Do You Finally Need A Friend,rb,Terry Callier,1972,0.8,-0.5
454,Me  Me,rb,Mayila,2019,0.6,-0.4
455,Through The Storm,rb,S.O.L. (Sounds Of Life),1995,0.7,0.6
456,Head In the Clouds,rb,Slim of 112,2016,-0.3,-0.7
457,Christmas Without You,rb,Xscape,1996,-0.7,0.6
458,Cities on Fire,rb,Joshua Morata,2019,0.6,-0.4
459,Movement I II  III,rb,Lapalux,2014,0.7,0.9
460,Euphoria,rb,ORLI ANROW,2021,0.3,0.7
461,Come Up,rb,JD Moon,2020,-0.7,-0.7
462,Wake Up,rb,Taveeta,2017,-0.7,0.6
463,Go Don’t Leave,rb,BluPrint (Girl Group),2021,0.7,0.9
464,Heavy Love,rb,Mali Music,2014,0.7,0.6
465,Distance,rb,Carti Bankx,2017,0.7,0.9
466,Wild Honey,rb,Van Morrison,1980,0.7,0.9
467,Do It Well,rb,dvsn,2016,0.9,-0.2
468,No More Remix,rb,OMEHGA,2017,-0.6,0.5
469,Rocket Man,rb,CammWess & John Legend,2020,-0.7,-0.3
470,Crown  Key,rb,GAIKA,2018,-0.2,0.7
471,Shoe Was On The Other Foot,rb,Patti LaBelle,1997,-0.8,-0.3
472,FALLING,rb,Dro Kenji,2020,-0.6,0.5
473,GELATO feat. Devin,rb,Cayluu,2021,0.7,0.6
474,Undercover Love,rb,B Mac & B Sev,2019,0.3,0.7
475,Strange I Still Love You,rb,Margie Joseph,1974,-0.8,-0.1
476,Booty Music,rb,Git Fresh,2015,0.3,0.7
477,Vows,rb,Knucks,2017,0.3,0.7
478,Facetime,rb,Tank,2020,0.3,0.7
479,Natural,rb,Montell Fish,2018,0.9,-0.2
480,Midnight,rb,"Mike WiLL Made-It, Tessa Thompson & Gunna",2018,-0.4,0.7
481,Georgia,rb,Suave the producer,2021,0.9,-0.2
482,L.M.R.O.B.,rb,Dave Tsimba,2021,-0.7,-0.3
483,In A Minute,rb,Brazil Hill,2019,0.7,0.9
484,G-Code,rb,Marr Grey,2018,-0.7,0.3
485,More Fire,rb,Angel,2013,0.7,0.9
486,Now Youre Here,rb,Yola,2021,0.3,0.7
487,In Love,rb,Angel,2019,0.3,0.7
488,Fuck the World Summer in London,rb,Brent Faiyaz,2019,0.7,0.6
489,What About Us Acoustic,rb,Eric Bellinger,2021,-0.7,0.3
490,C H E B . الشاب - طربوش دالورد - F R U I T English Translation,rb,Genius English Translations,2021,-0.6,0.5
491,Dumb Shit,rb,Tyrese,2014,-0.8,-0.1
492,Fertile,rb,LA timpa,2019,-0.3,-0.7
493,This girl is biracial,rb,Dons Life,2019,0.9,-0.2
494,Sparks,rb,"Marie Dahlstrm, Dan Diggas, Aligo",2021,0.3,0.7
495,See Saw,rb,The Moonglows,1958,-0.6,0.5
496,Memory No. 1,rb,Hammond Gamble,2008,-0.7,-0.3
497,Ungena Za Ulimwengu Unite The World,rb,The Temptations,1971,0.7,0.9
498,Just Do It,rb,Rai Hann,2020,0.7,0.6
499,Another Land,rb,D-toks,2020,-0.8,-0.3
