,title,tag,artist,year,x_coordinate,y_coordinate
73,ENDZ,rap,BLV CLOVDS,2020,-0.7,0.6
74,Ode2edith,rap,Skoobers,2020,-0.3,-0.7
75,Stamina,rap,Zoocci Coke Dope,2017,0.3,0.7
76,What Is Understood,rap,P-Tree,2021,0.7,0.9
77,Got It,rap,Lil Karat Stixx,2020,0.9,-0.2
78,Drugz,rap,DopeSMOOTHIES,2020,-0.8,-0.5
79,Stop Playing,rap,Blaze Coleman,2018,-0.6,0.5
80,Last Time,rap,Kill The Vultures,2015,-0.7,-0.3
81,White barz,rap,Peter Sorensen,2013,-0.6,0.5
82,Big Blanco,rap,Tu Blanco,2020,0.3,0.7
83,My Lifes Rapture,rap,Ghwttogabe,2020,-0.7,0.6
84,Ima Ball,rap,Kalan.FrFr.,2021,0.7,0.9
85,Drako  vs undead_slayer,rap,Dr@k01387,2019,-0.6,0.7
86,Wanting more,rap,Matthew Collis,2018,0.7,0.9
87,203,rap,MI$FIT NIZZY,2018,0.7,0.9
88,Heartfelt,rap,Roney,2020,-0.7,0.3
89,Soul,rap,Silas,2021,-0.8,-0.1
90,Ghost Stories Part 1,rap,Styles P,2005,-0.2,0.7
91,Inalude,rap,Sica,2021,0.8,-0.5
92,Trouble,rap,Sheperd,2017,-0.6,0.7
93,Private Party,rap,Arhinslim,2020,-0.6,0.5
94,Food Trucks,rap,T-K.A.S.H.,2017,-0.6,0.7
95,Old Skool,rap,Kosh,2018,0.7,0.9
96,Mrs. Lynch Your Son Is The Devil,rap,IDK,2017,-0.7,-0.3
97,Not Having It,rap,Clover,2019,0.7,0.9
98,ZEALOT,rap,Sonya June,2019,-0.6,0.7
99,Tha Bachelor,rap,POP STUNNA,2021,0.3,0.7
100,138,rap,Tnb clipper,2021,-0.6,0.5
101,The christmas rap,rap,Pye green valley,2012,0.6,-0.4
102,IMPURITY,rap,Sai (@off.sai),2020,-0.4,0.7
103,Knife Talk Sessions,rap,Wayne Rama,2021,0.7,0.9
104,Kasies Vibe,rap,Kasie,2020,-0.6,0.5
105,Bugs Bunny Flow,rap,SBL Jeremiah,2021,0.3,0.7
106,Reader  Writer,rap,Teejayx6,2019,-0.4,0.7
107,Deh Suh Remix,rap,Yizzy,2019,0.7,0.6
108,Foxys Bells,rap,Foxy Brown,1996,0.7,0.9
109,Early grind,rap,Dicecapo,2013,-0.4,0.7
110,Sunday,rap,Nickelus F,2016,-0.7,0.3
111,Hot Dog,rap,SHUG,2018,0.3,0.7
112,Never Turns Out How You Thought it Would,rap,Classified,2006,0.1,-0.7
113,CELEBRATE LIFE,rap,"Charlie Heat, DRAM & Ant Beale",2018,0.7,0.6
114,Gods Gift,rap,Orakana,2022,0.3,0.7
115,Molotov,rap,GXNER.,2021,-0.2,0.7
116,Shine Blockas Remix,rap,Big Boi,2010,0.7,0.9
117,U Gon Miss It,rap,Thugga Massina,2014,-0.6,0.7
118,Why RapGenius?,rap,a 'M.O.M.T.' Vce,2013,0.7,0.9
119,Now What,rap,K-Rino,2012,-0.7,0.3
120,16 Bar Freestyle,rap,AYungXhulooo,2018,-0.4,0.7
121,We Made It,rap,Trouble,2015,-0.7,-0.7
122,Big Los,rap,Nino Brown (USA),2011,-0.6,0.7
123,Castle Mania,rap,Omega Sparx,2014,-0.2,0.7
124,Swipe,rap,Weiland,2022,-0.6,0.7
125,Not tha Average,rap,Jeru the Damaja,1996,0.3,0.7
126,Past Due,rap,Daren (DVG),2016,0.9,-0.2
127,Grow,rap,Amb,2017,-0.8,-0.5
128,Pootie,rap,Jesuslovemike,2021,0.3,0.7
129,Thousand Pieces,rap,808x,2016,-0.7,0.3
130,UnHoly Angel,rap,C-Money,2021,-0.6,0.7
131,TENS,rap,Boybrat ft bakardi,2019,0.3,0.7
132,Fade,rap,JINX (jr.),2018,-0.7,-0.7
133,Celo,rap,LocoCity,2019,-0.2,0.7
134,Days,rap,Reezy Mw,2019,0.7,0.9
135,O.T.S Now You Bout It,rap,Rotimi A,2014,0.9,-0.2
136,Im a reject,rap,Tempvra,2017,-0.6,0.7
137,Get It Right Now,rap,Del The Funky Homosapien,2009,-0.6,0.5
138,Humping,rap,Pablo M.,2013,0.3,0.7
139,Geez,rap,Swish Da God,2020,0.9,-0.2
140,I Told Em,rap,Lil Gotit,2019,-0.4,0.7
141,Shady 2.0 Cypher Freestyle,rap,Ill Intent,2014,-0.6,0.7
142,Running In Circles,rap,Softheart,2020,-0.4,0.7
143,Baby Dont Go,rap,Fabolous,2007,-0.3,-0.7
144,They Forgot,rap,Loose,2019,-0.2,0.7
145,Dennisms,rap,Funky DL,2019,0.8,0.3
146,Old.Person.Syndrome.O.P.S.,rap,Sinderella Mann,2020,-0.6,0.5
147,Was Never Cool,rap,Kenny Golder Jr.,2019,0.7,0.9
148,Animae,rap,Swaghollywood,2020,0.7,0.9
149,Wax and Herbal T get FUNKYFRESH,rap,Wax & Herbal T,2022,0.7,0.9
150,Drifting Through the Sequoia Grove,rap,Flacco,2016,-0.6,0.5
151,Awesome Remix,rap,Prezidential Candidates,2011,0.7,0.6
152,MELIAMOTH,rap,theo (FR),2020,0.7,0.9
153,My Time,rap,Tommy G,2016,0.9,-0.2
154,Fed Up,rap,Bounty Killer,1996,-0.4,0.7
155,Nightim6,rap,666laughter,2021,0.3,0.7
156,Forever,rap,Melvin boy x Pablo,2015,0.3,0.7
157,Add It Up,rap,Young Finch,2017,0.7,0.9
158,Sole,rap,Vandalyzm,2010,0.9,-0.2
160,From the Machine,rap,Van Roy Asylum,2020,-0.6,0.7
161,This Christmas,rap,No Genre,2016,0.3,0.7
162,When Will I Stop Dreaming,rap,Cadenza,2015,-0.7,-0.3
163,End of Discussion,rap,White Acid,2019,0.7,0.9
164,Guess,rap,Suave Sterling,2018,0.7,0.9
165,Sega Police,rap,Charles Hamilton,2013,0.7,0.9
166,Feel Like Dyin,rap,DirtBoys,2018,-0.4,0.7
167,KODO BOOGIE,rap,T-Time,2015,0.7,0.6
168,Foreword Backwoods,rap,Ataah King,2015,0.3,0.7
169,Everything BoZ,rap,Trippie Redd,2019,-0.2,0.7
170,So Many Tears,rap,DJ Holiday,2015,-0.6,0.7
171,Winn Dixie,rap,Yahto Bank,2020,-0.4,0.7
172,Mirror / Her Song,rap,Pick Patek,2018,-0.4,0.7
173,Buckets,rap,Abhi,2018,-0.4,0.7
174,Better Together,rap,Niq,2021,-0.4,0.7
175,Fraud,rap,Sethii Shmactt,2018,-0.6,0.7
176,Sky High,rap,Eddie DeShaun,2013,0.8,-0.5
177,Gotta Go,rap,Prince Scooter,2017,-0.7,0.3
178,Schoolastic book fair 2,rap,KevinKempt,2020,-0.4,0.7
179,Decline,rap,Chiddy Bang,2009,0.7,0.9
180,ON $WOLE,rap,Lewi$ Gold,2018,-0.4,0.7
181,Dreams,rap,Lil Freaky,2017,-0.6,0.7
182,Heavy n da Streets,rap,Young Dolph,2010,-0.4,0.7
183,Im Gone,rap,Jay Stud,2020,-0.7,-0.7
184,Boomer Humor,rap,Ojmosfhgry,2019,-0.6,0.5
185,Reward It,rap,Future,2020,0.8,-0.5
186,BEAUTIFUL,rap,Ylti,2016,-0.4,0.7
187,PSA 2021 24KaratKev,rap,indigomerkaba,2021,0.7,0.9
188,Ozzie Ostrich Sings A Song,rap,Aaron Fraser-Nash,2021,-0.4,0.7
189,Happy Birthday,rap,Venom of ifame,2020,0.6,-0.4
190,OTW,rap,FCG Heem,2020,-0.6,0.5
191,Big Afrika,rap,Innoss'B,2013,0.7,0.6
192,Fever Timothy Is Everywhere,rap,Dizraeli,2019,-0.2,0.7
193,VIBE,rap,Lil Kar$,2021,-0.4,0.7
194,CØLD,rap,777Arcane,2020,0.3,0.7
195,Demon World,rap,The SHRINE,2021,-0.4,0.7
196,Triumphal Arch,rap,BabyLee,2013,0.7,0.9
197,1 OClock Jump,rap,Stevie Stone,2013,-0.4,0.7
198,Im On,rap,Monty,2012,0.9,-0.2
199,Finest,rap,Doestax,2021,0.7,0.6
300,Worth it,rb,Lhomelessm,2021,0.3,0.7
301,Shawty on fleek,rb,Radio Rell,2015,0.3,0.7
302,Mortia,rb,Prey (preye_itams),2015,0.6,-0.4
303,Udue,rb,Waje,2018,0.9,0.6
304,Be By Myself,rb,Janine,2018,-0.6,0.5
305,It’s the Love,rb,Carl Anderson,1984,0.3,0.7
306,Circles,rb,R.LUM.R,2019,-0.3,-0.7
307,Fallin’ in Love,rb,RUSSELL!,2022,0.9,-0.2
308,Im Right This Time,rb,AOE,2017,-0.8,-0.3
309,Top Down,rb,Angela Muoz,2020,0.3,0.7
310,Codeine love,rb,Gavin Whyte,2021,0.8,-0.5
311,I Use,rb,Nylo,2015,-0.7,-0.3
312,BLVCK VINYL,rb,Judgement Of Yesterday,2014,0.1,-0.7
313,I love hating you,rb,Savage Rapscallion,2021,-0.7,0.6
314,Wave,rb,Svn. The. Singer.,2016,0.3,0.7
315,Imagine Your Body,rb,Ailani,2021,0.3,0.7
316,Silent Sounds,rb,Realnev,2022,-0.7,-0.3
317,Love Will Find A Way,rb,Inez Richardson,1921,0.9,0.6
318,Shot,rb,Lawrence,2016,-0.7,0.6
319,So Bad,rb,Lil Mosey,2016,0.3,0.7
320,Trippin,rb,IndigoChildRick,2020,0.3,0.7
321,Out in the Country,rb,Bobby Taylor,1969,-0.8,-0.3
322,Lost a Good Girl,rb,John Lee Hooker,1962,-0.8,-0.1
323,My Only One,rb,Your Grandparents,2019,-0.7,0.6
324,​put in the grave,rb,czyby,2020,-0.6,0.5
325,Simbisa Strengthen,rb,McKurry,2020,-0.6,0.5
326,Desire,rb,Zen Adler,2020,-0.7,-0.3
327,Number One,rb,Keke Palmer,2016,-0.7,-0.3
328,All Night Long,rb,Robin Thicke,2006,0.3,0.7
329,Love A God,rb,Nefertitti Avani,2021,-0.6,0.5
330,Ghideon,rb,Witch Prophet,2020,-0.7,0.6
331,Hypnotized,rb,Justine Skye,2021,-0.6,0.7
332,Who Told You That,rb,Mavis Staples,2017,-0.6,0.5
333,Gone,rb,Brendan Morris,2015,-0.7,-0.3
334,Oshepete,rb,Mayorkun,2018,0.7,0.9
335,That Thing,rb,Cherokee Monique,2017,-0.3,-0.7
336,Take Control Ride On Me Riddim,rb,EshcoNinco,2015,0.3,0.7
337,Boss Ryan Hemsworth Remix,rb,Tinashe,2018,-0.6,0.7
338,Together,rb,Tshego,2019,-0.4,0.7
339,Sinned,rb,Foreighn,2019,-0.7,0.6
340,Eve Interlude,rb,Jamila Woods,2017,0.9,-0.2
341,If Only You Knew,rb,Richard Jansen,2018,-0.7,-0.3
342,Sometimes,rb,Eric Bellinger,2016,0.1,-0.7
343,Give Me a Chance,rb,Hish,2019,0.3,0.7
344,How Will I Know The Voice Performance,rb,Wendy Moten,2021,-0.8,-0.3
345,Sorry Bout Dat,rb,Syl Johnson,1968,-0.3,-0.7
346,Losing,rb,Dominique Gorley,2021,-0.7,0.6
347,Jenny,rb,Morgan James,2017,-0.8,-0.3
348,You Made Me See,rb,Stefanie Heinzmann,2012,0.8,-0.5
349,Bantu Knots and Boudain,rb,Nicotine,2017,-0.7,-0.3
350,Champagne,rb,BJ the Chicago Kid,2019,0.6,-0.4
351,New Home,rb,Rekswav,2019,-0.8,-0.5
352,Dont Pretend,rb,Faye Meana,2017,-0.7,-0.3
353,Now Vs Then,rb,Daniel Jacob Cox,2020,-0.7,0.6
354,Drug,rb,SLAE,2019,0.3,0.7
355,Feels So Much Better,rb,Johnny Gill,1990,0.2,1.0
356,Man on the Moon,rb,Dom the Composer,2019,-0.8,-0.5
357,Everything I Give,rb,Mason Monroe,2017,0.3,0.7
358,One Love,rb,Gospel Hydration,2018,0.6,-0.4
359,Medicine Remix,rb,Sonta,2018,-0.7,0.6
360,Minetta Creek,rb,Blood Orange,2018,-0.8,-0.5
361,Yin or Yang,rb,Drew Kennett,2018,-0.6,0.5
362,Letter Bound,rb,Son Little,2017,0.7,0.9
363,Coma,rb,BKTHERULA,2017,-0.8,-0.1
364,Capture the Moon,rb,Champaign,1984,0.8,-0.5
365,Blur,rb,Girlish,2019,-0.7,0.6
366,Unashamed,rb,Whitney Houston,2002,0.9,-0.2
367,Eliza Evilsiza,rb,Micah Kesselring,2021,-0.7,0.6
368,Jealous,rb,Keke Palmer,2016,-0.6,0.5
369,Im So In Love,rb,SWV,1996,-0.4,0.7
370,I Do,rb,Boyz II Men,2000,0.7,0.9
371,Forever My Lady K-Ci’s Drum,rb,Jodeci,1991,0.7,0.9
372,Dried Petals,rb,Audrey Sherman,2021,0.8,-0.5
373,Midway,rb,Kofi the kyd,2019,0.6,-0.4
374,Time,rb,GALLO,2020,-0.8,-0.5
375,Good Firends,rb,Alex J. Price,2017,-0.7,0.6
376,Girl Code,rb,Tellemtee,2021,-0.7,0.6
377,Take a minute,rb,LilBoyzie,2019,0.9,-0.2
378,This Will Have to Do Until the Real Thing Comes Along,rb,Wilbert Harrison,1970,0.7,0.9
379,Escape,rb,JaMyron Minor,2021,-0.8,-0.5
380,Together We Can Make Such Sweet Music,rb,The Supremes & The Four Tops,1970,0.8,0.3
381,Family,rb,Goldie love,1992,0.8,0.3
382,I Bet You,rb,James Cook,2015,0.3,0.7
383,Whistle,rb,Jonn Hart,2018,0.3,0.7
384,Human Sacrifice,rb,Childish Gambino,2018,-0.8,-0.5
385,The Stages,rb,Cosmoofficially,2021,0.9,-0.2
386,Re-Write the Memories,rb,New Edition,2004,-0.7,0.6
387,20 Something,rb,Olivia King,2021,-0.4,0.7
388,Better,rb,Chastity (Chazz),2021,0.1,-0.7
389,X 1 Thing Wrong,rb,JoJo,2020,-0.6,0.5
390,One Night Lover,rb,Tory Lanez,2010,0.3,0.7
391,Numb,rb,Mack Keane,2019,0.1,-0.7
392,L.M.O.D.,rb,Dez Wave,2019,-0.6,0.5
393,Stay With Me,rb,KNNDYGRN,2018,-0.7,0.6
394,If I Hit,rb,112,2005,-0.7,-0.7
395,Patience,rb,Leon Hlabathi,2020,0.8,-0.5
396,Antidote,rb,Jeangu Macrooy,2017,0.1,-0.7
397,Away,rb,Nivea,2019,-0.7,-0.3
398,So You Need Me Now?,rb,Vaishalini,2021,-0.6,0.7
399,Every Time I Look Behind,rb,Nappy Camper,2017,-0.8,-0.3
400,Hold On to Me,rb,Kyle Dion,2016,-0.8,-0.1
401,Retrograde,rb,Berry Gum,2019,-0.2,0.7
402,Philosophies,rb,Joey Diamond,2019,-0.6,0.5
403,Oh No She Didnt,rb,Isyss,2002,-0.6,0.7
404,Dancing Slow,rb,Martha Reeves & The Vandellas,1964,0.6,-0.4
405,Until The Day Of,rb,Lenis,2017,0.9,0.2
406,I Wanna Do Things For You,rb,Eddie Floyd,1973,0.9,-0.2
407,Better than the real thing,rb,Snoozegod,2019,0.7,0.6
408,Last Thing I Do,rb,Casimir Cadence,2021,-0.7,0.3
409,DONT TELL ME,rb,TWONIEB,2021,0.3,0.7
410,Love Will Never Do Without You Work It Out 7,rb,Janet Jackson,1990,0.9,-0.2
411,Cherry Live At Shepherd’s Bush Empire London / 2007,rb,Amy Winehouse,2007,-0.7,0.6
412,Aloevera,rb,FRVRFRIDAY,2017,-0.6,0.5
413,Nani,rb,IDRYS,2017,0.3,0.7
414,A Song of Faith,rb,Yolanda Adams,2001,0.6,-0.4
415,Medicine.,rb,LoNEly iS hUNteR,2019,0.9,-0.2
416,Im Prison Bound,rb,Sunnyland Slim,1961,-0.8,-0.1
417,Rocket Ship,rb,Max Wonders,2016,-0.4,0.7
418,NTS 95,rb,Chrisstopher,2016,0.7,0.9
419,Power Back,rb,Mary J. Blige,2014,0.7,0.9
420,Company,rb,Trey Songz,2015,-0.8,-0.3
421,Bustin Loose,rb,Chuck Brown And The Soul Searchers,1979,0.3,0.7
422,After You Leave Girl,rb,The Jackson 5,2012,-0.7,0.6
423,The Judgement Come,rb,Cornell Campbell,1978,-0.8,-0.1
424,Forget About Me,rb,Angie Stone,2015,-0.8,-0.5
425,All You Need,rb,Victoria Mont,2018,0.9,-0.2
426,Love Fire Desire,rb,Dream Coterie,2020,0.1,-0.7
427,Watching You,rb,Slave,1980,0.3,0.7
428,Foolish,rb,Jalisa,2018,-0.7,0.6
429,Keep It Real,rb,Marmar Oso,2020,-0.7,0.6
430,Get What You Want,rb,Sir Woman,2022,-0.7,0.3
431,Im a female producer/singer. I need advice on this Drake/Jhene Aiko style track...,rb,Rachel Lehcar,2016,0.7,0.9
432,Going To the Hop,rb,The Satintones,1959,0.9,0.6
433,I’m Afraid The Masquerade is Over,rb,David Porter,1971,-0.4,0.7
434,Cool My Desire,rb,The Cheques,1969,0.3,0.7
435,The Time We Have,rb,O.V. Wright,1977,0.3,0.7
436,Fall In Love With Imperfections interlude,rb,Kill_Swxtch,2019,-0.7,0.6
437,Running Back,rb,ENI (IAMENI),2017,-0.6,0.7
438,Bush Doctor,rb,Peter Tosh,1978,-0.6,0.5
439,Waste,rb,Deadvoss,2019,-0.8,-0.3
440,Not A Love Song Prelude,rb,Jay Clique,2020,0.9,-0.2
441,Down Bad,rb,Sellous,2019,0.3,0.7
442,THE WORLD IS YOURS,rb,Yexwxrld,2020,0.7,0.9
443,The Girl Named Grey,rb,svrite,2018,0.8,0.3
444,The Addition to Blues,rb,Doug MacLeod,2008,0.2,1.0
445,Bad things,rb,LoNEly iS hUNteR,2019,0.7,0.9
446,FYRE,rb,Some.Unique.Individual,2021,-0.3,-0.7
447,Kidnapped,rb,Ginuwine,2011,0.3,0.7
448,Sun,rb,Safa Liron,2019,-0.8,-0.1
449,Fuk iz goin on ?,rb,Latelatekuro,2017,0.2,1.0
450,And I Love Him,rb,Nyah Grace,2020,0.1,-0.7
451,Serve This Royalty,rb,The Weeknd,2019,0.7,0.9
452,8PM in Pretoria,rb,Lucious Lark,2020,0.3,0.7
453,Do You Finally Need A Friend,rb,Terry Callier,1972,0.8,-0.5
454,Me  Me,rb,Mayila,2019,0.6,-0.4
455,Through The Storm,rb,S.O.L. (Sounds Of Life),1995,0.7,0.6
456,Head In the Clouds,rb,Slim of 112,2016,-0.3,-0.7
457,Christmas Without You,rb,Xscape,1996,-0.7,0.6
458,Cities on Fire,rb,Joshua Morata,2019,0.6,-0.4
459,Movement I II  III,rb,Lapalux,2014,0.7,0.9
460,Euphoria,rb,ORLI ANROW,2021,0.3,0.7
461,Come Up,rb,JD Moon,2020,-0.7,-0.7
462,Wake Up,rb,Taveeta,2017,-0.7,0.6
463,Go Don’t Leave,rb,BluPrint (Girl Group),2021,0.7,0.9
464,Heavy Love,rb,Mali Music,2014,0.7,0.6
465,Distance,rb,Carti Bankx,2017,0.7,0.9
466,Wild Honey,rb,Van Morrison,1980,0.7,0.9
467,Do It Well,rb,dvsn,2016,0.9,-0.2
468,No More Remix,rb,OMEHGA,2017,-0.6,0.5
469,Rocket Man,rb,CammWess & John Legend,2020,-0.7,-0.3
470,Crown  Key,rb,GAIKA,2018,-0.2,0.7
471,Shoe Was On The Other Foot,rb,Patti LaBelle,1997,-0.8,-0.3
472,FALLING,rb,Dro Kenji,2020,-0.6,0.5
473,GELATO feat. Devin,rb,Cayluu,2021,0.7,0.6
474,Undercover Love,rb,B Mac & B Sev,2019,0.3,0.7
475,Strange I Still Love You,rb,Margie Joseph,1974,-0.8,-0.1
476,Booty Music,rb,Git Fresh,2015,0.3,0.7
477,Vows,rb,Knucks,2017,0.3,0.7
478,Facetime,rb,Tank,2020,0.3,0.7
479,Natural,rb,Montell Fish,2018,0.9,-0.2
480,Midnight,rb,"Mike WiLL Made-It, Tessa Thompson & Gunna",2018,-0.4,0.7
481,Georgia,rb,Suave the producer,2021,0.9,-0.2
482,L.M.R.O.B.,rb,Dave Tsimba,2021,-0.7,-0.3
483,In A Minute,rb,Brazil Hill,2019,0.7,0.9
484,G-Code,rb,Marr Grey,2018,-0.7,0.3
485,More Fire,rb,Angel,2013,0.7,0.9
486,Now Youre Here,rb,Yola,2021,0.3,0.7
487,In Love,rb,Angel,2019,0.3,0.7
488,Fuck the World Summer in London,rb,Brent Faiyaz,2019,0.7,0.6
489,What About Us Acoustic,rb,Eric Bellinger,2021,-0.7,0.3
490,C H E B . الشاب - طربوش دالورد - F R U I T English Translation,rb,Genius English Translations,2021,-0.6,0.5
491,Dumb Shit,rb,Tyrese,2014,-0.8,-0.1
492,Fertile,rb,LA timpa,2019,-0.3,-0.7
493,This girl is biracial,rb,Dons Life,2019,0.9,-0.2
494,Sparks,rb,"Marie Dahlstrm, Dan Diggas, Aligo",2021,0.3,0.7
495,See Saw,rb,The Moonglows,1958,-0.6,0.5
496,Memory No. 1,rb,Hammond Gamble,2008,-0.7,-0.3
497,Ungena Za Ulimwengu Unite The World,rb,The Temptations,1971,0.7,0.9
498,Just Do It,rb,Rai Hann,2020,0.7,0.6
499,Another Land,rb,D-toks,2020,-0.8,-0.3
600,Goons of Hazzard,rock,Dead Kennedys,1985,-0.4,0.7
601,Summertime Blues Royal Albert Hall,rock,The Who,2003,-0.8,-0.3
602,I Call My Pain by Your Name,rock,Ellen Foley,2021,-0.7,0.6
603,And the Healing Has Begun,rock,Van Morrison,1979,0.7,0.6
604,Tiny Screens,rock,Summerhead,2021,-0.8,-0.5
605,Shirley,rock,Sorrytown,2016,-0.8,-0.3
606,Making You Cry live Chicago 2008,rock,Ben Weasel,2009,0.1,-0.7
607,Beautiful Feeling Pt. 3,rock,Rich Kids On LSD,1994,-0.3,-0.7
608,That Side of Me,rock,12v Negative Earth,2004,-0.4,0.7
609,My Ex,rock,Nacho Gomez Cao,2020,-0.8,-0.1
610,Things Gonna Change Some,rock,Sugarloaf,1970,-0.3,-0.7
611,Cant fool me,rock,Apple Sweet Apple,2017,-0.6,0.5
612,Borstal Breakout,rock,Street Dogs,2003,-0.2,0.7
613,Kate  Cindy,rock,The Scaramanga Six,2021,-0.7,0.6
614,Behold the Tyrants Fall,rock,Chronolyth,2013,-0.6,0.7
615,Where The Wild Things Arent,rock,Dani Lee Pearce,2019,0.9,-0.2
616,See Spot Run,rock,Harborer,2020,-0.8,-0.5
617,UnbreakableTruth to Power EP,rock,Insolence,2020,-0.4,0.7
618,The Man Im Not,rock,Noah Dillon,2020,-0.3,-0.7
619,You Have Flaws,rock,"Captain, We're Sinking",2013,-0.8,-0.3
620,Rebels Out There,rock,Smiley & The Underclass,2019,-0.4,0.7
621,Supermarket Lobster Tank,rock,Dillon M.,2018,0.8,-0.5
622,Happy with What You Have to Be Happy With,rock,King Crimson,2002,-0.7,-0.7
623,Love Love Love,rock,John Prine,1986,-0.8,-0.5
624,We’re Not the Same,rock,Enjoy The View,2010,-0.7,-0.3
625,Those Were the Days,rock,Old 97's,2017,0.7,0.6
626,Ten Past Two,rock,The Roster,2019,0.2,1.0
627,Its In You,rock,The Who,1997,0.3,0.7
