"annotation_id","annotator","artist","created_at","id","index","lead_time","lyrics","tag","title","updated_at","x_coordinate","y_coordinate","year"
13,"1","Dj hughes","2024-07-18T18:05:15.509633Z",1509,11,33.957,"Lionhartdan:hey sis you sure you know what your talkin about calling my iq and fans stupid look in a mirror you big disgrace of life you have no friends Take the L Loser yayayeet lol Remer

Avery:I'm haydens sister number 0 saying my sister's Boyfriend is shit your the shit around here you big NOOB

Hayden: my sister is right big fat NOOB lose some weight for once in a life time God your such a peace of shit bitch lasagna yayeet

Daniel: my sister is done with you mother fudger yeah I'm cusing because your excusing to much bitch

Geniveive: ha your so dumb all I do is use you for friends but I can't no more cuz you have no friends lol TAKE DOWN","rap","Diss on my sis","2024-07-18T18:05:23.694062Z","-0.6","0.8",2019

14,"1","King_isaiahhh","2024-07-18T18:11:24.623623Z",1510,12,107.679,"The king is back you missed me this for all these hoes who dissed me I am back at it again I am a champion with god flow but that's only a feeling me and kanye know and Kendrick and all you other rappers and you fake trappers where you from? They ask im from Baltimore they city where they show no pity where they run up on you shoot you 5 times tike you biggie no biggie we used gunshots is nothing but if shots rang out you better start ducking cause im going to be the one bussing. I shouldn't even be here I don't how many times I wanted to quit but I realized my only way out was to spit I got a AK all that shit do is spray spray so all better pray pray that them boys don't come and snatch your baby its crazy around here word to the unknown let the truth be told im only doing this for gold and so I can go on the road do hella shoes make my mama happy make my dad smile. They barking im barking they said a lil yo go run in the house and grab the strap I did that put his head back *click clack* BANG!! nigga","rap","King me","2024-07-18T18:11:24.623623Z","-0.2","0.5",2015

15,"1","Nightingale_RUS","2024-07-18T18:12:33.968929Z",1511,13,67.022,"[Intro]
Yeah
Nightingale is here
Listen...
Do you really believe in everything you see in Instagram? Oh, shit...
Yeah

[Verse One]
I’ma catch-potato, wanna know how I spend a day?
Surfing Instagram on my Apple phone - no way!
I think in this way I’m visualizing something
But the truth is that I’m simply doing nothing
Pretending being rich and wealthy, blowing flour but still healthy, always draped in something classy, behind the wheel of Maserati, hanging heavy Louie bags hella full with money bands, living in a penthouse which is higher than the clouds
Yeah
That’s my thoughts I’m lying and scrolling the feed
Yeah
I’ve never fought, but despite this I suffer defeat
Yeah
Rap game, for me it is still something new
No refrains in this track
But why, I got no clue
[Bridge]
This story is sad, cause Insta-dreams are fake
I’m getting hella mad, there are some actions to take

[Verse Two]
As an employee I’ve earned some funny money
Yeah
Never invested it, but felt like Axelrod Bobby
Spent a half on my Stans which are white and green
A couple of kickz is worth of fucking routine
My Instagram is opened on pages of business bloggers
Bentleys at the background , they all draped in suits and loafers
Double tap on their pictures the only thing that I do
Instead of building my life I flush the time down the tube
Yeah, ugh

[Outro]
People, please, don’t repeat my mistakes!
Yeah, Nightingale","rap","Insta Dreams","2024-07-18T18:12:33.968929Z","-0.6","-0.5",2019

16,"1","JAYKakashi","2024-07-18T18:12:50.560689Z",1512,14,14.38,"[Intro]
Okay

[Chorus]
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up

[Verse]
R.I.P. to X-tending my will to fucking live and
Birthing Prod. Jay, so I'm grateful, this is for him

[Chorus]
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up
[Verse]
If you don't like me, I couldn't be less
Fucking bothered, you're clapped and you're fucking shit","rap","SHUT UP","2024-07-18T18:12:50.560689Z","-0.9","0.8",2020

17,"1","Shabazz the Disciple","2024-07-18T18:14:26.451348Z",1513,15,86.824,"[Hook]
Yo! we win the war cause we bomb first
It's like when napalm bursts, snipers with the Vietnam verse
Ghetto apostles doing god's work, boots and camouflage shirts
Marching through your trenches and your concerts
We win the war cause we bomb first
It's like when napalm bursts, snipers with the Vietnam verse
Ghetto apostles doing god's work, boots and camouflage shirts
Marching through your trenches and your concerts

[Verse 1: Shabazz the Disciple]
I'm that guerilla in your midst, stalking with an army of assailants
I got your organization under surveillance
You moved your pawn two squares, left the king unveiled
Diagonal invasion, soldiers marching in for the kill
This is a war join ranks, play your position
Put the industry in checkmate, force them under submission
Ya whole perimeter's surrounded by my legion
You're trapped inside the center of an isolated region
Chk!, blaugh!!!, glass shatters, bullets scatter
No evidence or fingerprints a c12 matter
Black bishop moving in, attack the queen
Sabotage front line, the industry's in quarantine
[Verse 2: R.H. Bless]
This is your final call, prepare for violent storms, a silent war
Map your survival course
Mount ya riding horse and grab ya sword
Hip-Hop's a holocaust, grab ya holy cross, ya crescent and star
Witness ya empire fall like Sodom and Gomorrah
Refer to ya bibles, Qu'ran and Torah
Bless, I be the high exalter, divine curer, who mind is purer
Staring in my rivals eyes, I analyze, cross examine and paralyze
All those who choose to itemize lies

[Hook]

[Verse 3: Freestyle]
Continued infiltration by fire bomb detination
Phasers and lasers scopin, choking from smoke inhilation
Secret service agents are coming at me
I gotta hit em I sprayed, throw a grenade
Setting off the sprinkler system

[Verse 4: Poetic]
I specialize in fear, terrorizing your airwaves
Like dropping off thermo-nuclear bombs in subways
Here to stress ya life, painting pictures of death
Ancient scriptures rip ya silhouette, I'm cold as winter
Bringing the earth tremors that burst ya inner sanctum
I sank men of war then haha, laughed at how I banged them
Foes copping a plea, should've took the opportunity to flee
I bring terror to fields like the phantom
My thoughts reveal a navy seal approaching ghetto wars
Enemies force field jackets get stained from open sores
Non-negotiable term for your surrender
I heat ya weak arsinol, and burn men to cinders
[Hook]

[Freestyle]
Rendezvous, special operations: team arsonists
Switch the disk and get out of there fast
We don't wanna take no risk
Code name: freestyle, alias ""the asthmatic""
Automatic full metal jackets
Static's with the diplomatic, bureaucratic tactics
We got the area secured now, triple the c-4
And get of the whole floor, you copy?
I copy that, we got the whole music business wired
So when this shit blow, ya whole empire's expired

[R.H. Bless]
We can live lavish and still build on the mathematics
Far precise, cut cabbage, rock ice and still civilize a savage

[Shabazz]
Dancing in the Garden of Eden, gotta thank Allah I'm breathin
Glancing back at days I used to be behind them bars with heathens

[Poetic]
Flash like the Aztecs, cash checks, blast tecs
Collect all of my assets from sales from the cassettes
[Freestyle]
Iceless but priceless, top of the price list
Probably the 1st up on ya heist list
Ya might miss, so knowledge this...","rap","Ghetto Apostles","2024-07-18T18:14:26.452348Z","0.6","0.4",1998

18,"1","Dot Dot Curve","2024-07-18T18:14:56.164362Z",1514,16,27.302,"Cannot believe you bought this fucking cd
Fucking faggots
Fucking assholes
Fucking skinny jeans suck so bad
His cartoon is ass
Trynna get crunk with girl jeans and a girl tee what the fuck
What an idiot
His hair is pretty fucked up
He looks like its halloween every fucking day
Fucking faggot
Asshole thinks hes so much hot shit
Calls himself the sex
That shit looks fucking stupid bitch
Fucking wack ass bitch
Dot dot curve my dick
I bet hes got 2 tone pubes
I dont think he has pubes though I shaved them once
Fucking dot dot curve this dick
Fuck his hair fuck his music and his stupid ass jeans
Yo nigga","rap","Hanh","2024-07-18T18:14:56.164362Z","-0.7","0.8",2008

