title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Every inch of you,pop,Outshyne,2012,864,{},"Oh when I walked in the room you were cussin out the mirror, had every stitch of clothes on the floor. Said, ""I hate the way I look, wished I was thinner. Lately I'm feelin like you don't want me anymore."" Well baby I know all the lies that the mirror's telling you, cause if you wanna know the truth
To me you're the definition of perfection, from your head to your toes and the way that move. Even in the morning with no make-up and your hair all a mess, girl it's true, yes I do love every inch of you. Oo love every inch of you
Now, don't go thinking I ain't crazy about you baby. Wipe those pretty eyes, come here and rest in my arms. No other girl's ever made me feel the way you make me. With both eyes at a time keeps my heart pounding strong. So if you say they can't feel this feeling baby, all of them piecin are gonna give up on you anyway
To me you're the definition of perfection, from your head to your toes and the way that move. Even in the morning with no make-up and your hair all a mess, girl it's true, yes I do love every inch of you
Now you got my whole attention when you walk in the room, and every other guy's too. You turn me on in every way that. There's nothing baby, I would change about you, no no
Cause to me you're the definition of perfection, from your head to your toes and the way that move. Even in the morning with no make-up and your hair all a mess, girl it's true, yes I do. To me you're the definition of perfection, from your head to your toes, that sexy way that move. Even in the morning with no make-up and your hair all a mess, girl it's true, yes I do love every inch of you, love every inch of you. Yes I do, love every inch of you",2095252,en,en,en
Ill Be Turning To You,pop,Kieran Kane,2015,172,{},"When the long hard day becomes the cold dark night
And I feel my strength slipping away
When I can not see any hope in sight
And I feel no love anywhere
I'll be turning to you and you'll be setting me free
From the shackles of places I don't wanna be
When my faith and my spirit need to be renewed
I will always be turning to you
In a crowded room when I'm all alone
Surrounded by people I don't know
They want my time and they want my soul
I'll just close my eyes and once again
I'll be turning to you...
There might be a million reasons keeping us apart
But I know you'll always be in my heart
And I'll be turning to you...
Yes I will always be turning to you",1763355,en,en,en
One Small Chance,pop,Big Mountain,1999,246,{},"Just one small chance
Just one small chance
Give me your love
Just one small chance, ooh, baby, yeah
Give me one little chance
To prove my love, prove my love, alright

You may think that I'm a stranger
But I'll soon prove that you're the one who holds my heart, ey-yeh
Live my love, you can depend on
And if you do I'll make all your dreams come true
Please let me give my love to you

Just one small chance, I will not leave you lonely
Just one small chance to prove my love
Just one small chance, whatever the price I will pay
Just one small chance, yeh-yeh-yeh

There's a flower on the hillside
Shinin' bright like the sun up in the sky, ooh, yeh-yeh
Like our love cold be tomorrow, just let go
Ain't no need to question why
Please let me prove my love to you
Just one small chance, I will not leave you lonely
Just one small chance to prove my love
Just one small chance, whatever the price I will pay
Just one small chance

Receive my love
Girl, you know it's you that I'm thinking of
This restless life for me is good and done
Please believe in my love
You're the one I need to hold me
Be my girl, my one and only

Girl you're so fine, always on my mind
Me say me love to love you in the sweet sunshine
Me say me love you, yes, girl, me love you, be true
Give me one more chance and I will prove it to you

You know what is right
No possible way this could be wrong
So give me your heart now, baby
Let us build our love up strong

Let's not limit ourselves
We can feel our true desires
Let them all flow
Don't you kill the fire
Won't you give me just one small chance, I will not leave you lonely
Just one small chance to prove my love
Just one small chance, whatever the price I will pay
Just one small chance, ooh, baby, yeh-yeh

Just one small chance, I'll be your full-time lover
Just one small chance, your knight in shining armor
Just one small chance, ooh...baby
Just one small chance, ooh, your love

Ooh, give me one little chance, alright
Yeh, give me one little chance
A little little piece of your love
Just one more chance",858548,en,en,en
Automata,pop,KOGARASHI,2019,11,{},"[Verse 1]
We knew each other and we got along
We fell in love in such a way, oh boy
We got issues, couldn't help but fight
That's when I said ""this isn't right""

[Chorus]
I won't capitulate
I've gone through that shit before
I'm going to be clear
I don't wanna be hearing you speak your mind, speak your mind
Ah, ah, ah
Ah, ah, ah

[Verse 2]
You got jealous and I got scared
I couldn't cope with your violent ways, no
We both knew that this between us was gonna end
It was only a matter of time

[Chorus]
I won't capitulate
I've gone through that shit before
I'm going to be clear
I don't wanna be hearing you speak your mind, speak your mind
Ah, ah, ah (Ah, ah, ah)
Ah, ah, ah
[Chorus]
I won't capitulate
I've gone through that shit before
I'm going to be clear
I don't wanna be hearing you speak your mind, speak your mind
Ah, ah, ah
Ah, ah, ah
I won't capitulate
I've gone through that shit before
I'm going to be clear
I don't wanna be hearing you speak your mind, speak your mind
Ah, ah, ah
Ah, ah, ah
Ah, ah, ah
Ah, ah, ah",4867313,en,en,en
Hall of Death,pop,"Matt Sweeney & Bonnie ""Prince"" Billy",2021,502,"{""Matt Sweeney & Bonnie \\\""Prince\\\"" Billy""}","Every so often when the tide is low
My heart starts to soften then cry you must go
And give her your tribute 'cause she won't even know
Oh, I'm gonna walk down
The hall of death again, the hall of death again
The hall of death again, the hall of death again

She doesn't look over, she can't even see
She's been there forever - forever to me
Can't even remember she used to be
Oh, I'm gonna walk down
The hall of death again, the hall of death again
The hall of death again, the hall of death again

And so one more time I see myself here
What mountain I'm summitting's never been clear
It's all I can do to once more be near
Oh, I'm gonna walk down
The hall of death again, the hall of death again
The hall of death again, the hall of death again
It is clear no love is waiting there
Wet with rain, I turn around
And my baby's here, the wind blows in her hair
We turn around",6505831,en,en,en
The Life feat. Hussein Fatal Caddillac Tah  James Gotti,pop,Ja Rule,2015,181,{},"(feat. Hussein Fatal, Caddillac Tah, James Gotti)
[Intro - Hussein Fatal - talking]
[woman - harmonizing in background]
Yeah my nigga Rule, Hussein Fatal
The outlaw don in this piece motherfucker
I want to welcome y'all niggas back to the streets (it's alright!)
You's confused for a minute but here we are
My nigga Cad in this motherfucker
I got my niggas man, them bricks (finish bitch!)
Ride out nigga
Uh, yeah
[Break - Ja Rule (Hussein Fatal talks over Break)]
The life, the life (the life, the life)
The life, the life (the life, the life)
The life, the life (the life, the life)

[Verse 1 - Ja Rule]
Yo, what up world, it's Rule public enemy number one
It's cool, my new best friend is my pistol
And anybody that want it or got jewels run it
And end over your head, don't make me gun butt it
Do you like Manolo, put two in your stomach
And flash the burner on bitches like stacks of hundreds
I'm livin my life (my life), what gets better than ice in hell
When you cookin up coke to sell
It be the little statistics, some pictures, some prints
Some informants to get the operation pitched
We enormous, some would say the ""Inc."" is ""Murderous""
You don't want us to strap up and bang the strip
But if need be, we'll bang out like Bloods and Crips
Styrofoam the noozles and extend the clips
Murder meets gangsta shit
And all my niggas that live it from hood to hood bang to this, nigga
[Chorus",1047855,en,en,en
Spin The Record,pop,Melodi Brown,2002,216,{},"[Snippet]
Alright
Don't you stop it
Get into it
Don't you stop it
And you can do it
Don't you stop it
Keep it moving
Keep it moving
Keep it moving

Spin, spin
Spin the record
While we
Can spend up a jinn at the bar
Spin, spin the record again
So we can do it with, with
Throw up your hands
Bounce, ladies let's just...",6206944,en,en,en
Not A Love Song,pop,Ida Corr,2017,362,{},"[Verse 1]
Don't know what to do
Don't know what to say
Don't know how to talk to you
You're telling my lies
When I look at your eyes
Don't know how to be with you

[Pre-Chorus]
So that's why I'm leaving you in that word
And that's why I'm leaving you confused and hurt

[Chorus]
'Cause baby, this is not a love song
Just a broken melody
A badly written poem
All about you and me
A thousand words will make you understand
Why you're too beautiful to be my man

[Verse 2]
Don't wanna' act
Don't wanna' fake it
I'm just not okay with that
And noone do better
When we're loving apart
I know that we're a fact
[Pre-Chorus]
So that's why I'm leaving you here without a word
And that's why I'm leaving you confused and hurt

[Chorus]
'Cause baby, this is not a love song
Just a broken melody
A badly written poem
All about you and me
A thousand words will make you understand
Why you're too beautiful to be my man

[Pre-Chorus]
So that's why I'm leaving you here without a word
And that's why I'm leaving you confused and hurt

[Chorus]
'Cause baby, this is not a love song
Just a broken melody
A badly written poem
All about you and me
A thousand words will make you understand
Why you're too beautiful to be my man
A thousand words will make you understand
Why you're too beautiful to be my man",2986573,en,en,en
The Greatest RedTop Remix,pop,Michelle Williams,2008,24,{},"Ohh... oh, oh oh (repeat)

[Verse 1:]
Thought I was standing tall
I thought I seen it all
But baby I was wrong
'Cause you're the greatest
I walk a thousand miles
But nothing's what I found
Until you came around
'Cause you're the greatest

Search high and low for love, just
To find out, that it was here all along, and
I know it, but I wanted it
I should've been chasing you

[Chorus:]
And I was reaching for the stars
Didn't have to look so far
'Cause love's where you are
But I didn't have a clue
And now I realize
That the stars are in your eyes
'Cause you always shine
Baby you're the greatest

[Verse 2:]
Thought everything had changed
Until the day you came
And took away the pain
Baby you're the greatest
I always wore a frown
I never use to smile
Until you showed me how
Baby you're the greatest

Search high and low for love, just
To find out, that it was here all along, and
I know it, what I wanted it
I should've been chasing you

[Chorus:]
And I was reaching for the stars
Didn't have to look so far
'Cause love's where you are
But I didn't have a clue
And now I realize
That the stars are in your eyes
'Cause you always shine
Baby you're the greatest

[Bridge:]
Reaching for the stars then I bumped into you
And I cannot believe I was searching so long
Ooh baby, I'm so taken
And all that I need is to look into your eyes

[Chorus:]
And I was reaching for the stars
Didn't have to look so far
'Cause love's where you are
But I didn't have a clue

And now I realize
That the stars are in your eyes
'Cause you always shine
Baby you're the greatest",1840476,en,en,en
Im Yours,pop,Acoustic Sound Section,2015,92,{},"Well, you done done me and you bet I felt it
I tried to be chill but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back

Before the cool dawn run out
I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon, it's again my turn
To win some or learn some

But I won't hesitate
No more, no more
It cannot wait
I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find love, love, love, love
Listen to the music of the moment, people dance and sing, we're just one big family
And it's our God-forsaken right to be loved, loved, loved, loved, loved
So I won't hesitate
No more, no more
It cannot wait
I'm sure
There's no need to complicate
Our time is short
This is our fate
I'm yours

Do you want to come on, scootch on over closer, dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate
No more, no more
It cannot wait
I'm yours
Well, open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find that the sky is yours
So please don't, please don't, please don't...
There's no need to complicate
'Cause our time is short
This oh, this oh, this is our fate
I'm yours

Oh, I'm yours
Oh, I'm yours
Oh, oh
Baby, do you believe, I'm yours?
You best believe, you best believe, I'm yours",2183641,en,en,en
Come on Baby,pop,Jimmy Reed,2015,133,{},"Come on, tell me what you're gonna do
Come on, tell me what you're gonna do
All the people want to know, what's the matter with me an'you

I can't sleep, I can't eat
Doctor done told me, stay off-a my feet
Come on, tell me what you gonna do
All the people want to know, what's the matter with me an' you

Baby, baby, baby, run it all back home to me
Baby, baby, baby, run it all back home to me
Now that my heart is achin', an' I'm in misery",1529037,en,en,en
Summer Days in Bloom,pop,Maximilian Hecker,2007,1703,{},"Paralyzed by ancient delight
And riding for a fall today
I am dressed in style, so eager in mind
But furthermore distracted by you
And it's like i lose myself
In dreaming of summer days in bloom
Oh, i've got no clue how i could fight that
All that i am is worth a dime
Worth a dime

This liquid lunch will not stop my punch-
Drunk quality to doze while i run
It is thirty-nine degrees in my mind
It's thirty thousand miles more to go
Cause it's like i lose myself
In dreaming of summer days in bloom
For i've got no clue whatever happened
All that i am is worth a dime
Worth a dime",938572,en,en,en
SOMEDAY,pop,YOG$,2021,1615,"{""YOG\\$"",""Tiffany Day"",MASN}","[Intro: MASN]
I'll find you today
Sick of saying someday
'Til I pass out on North and South
Running all over and around
Wish you were here
My hearts got years
'Til it stops beating and I drop
I'll be searching for you nonstop

[Chorus: MASN]
I'll find you today
Sick of saying someday
'Til I pass out on North and South
Running all over and around
Wish you were here
My hearts got years
'Til it stops beating and I drop
I'll be searching for you nonstop

[Verse 1: Tiffany Day]
Wish you were here in my mind
I think about you all the time
I wonder if you think about me too
Been seven years, you were mine
And we had a life figured out
I stay awake and think about
What went wrong and how you're doing
I know it's confusing
I'm not usеd to losing somebody that mean't so much
And now I just wander
I'm looking, it's usеless
I'm desperate to find something
Like your love
[Pre-Chorus, Tiffany Day]
And you don't know how much I want it
How much I miss you in my sleep
You're in my dreams

[Chorus: MASN, Tiffany Day]
I'll find you today (I'll find you today)
Sick of saying someday (Sick of saying someday)
'Til I pass out on North and South
Running all over and around
Wish you were here
My hearts got years (My hearts got years)
'Til it stops beating and I drop
I'll be searching for you nonstop
I'll find you today
Sick of saying someday
'Til I pass out on North and South
Running all over and around
Wish you were here
My hearts got years
'Til it stops beating and I drop
I'll be searching for you nonstop

[Outro: Tiffany Day]
'Til I pass out on North and South
Running all over and around",7070104,en,en,en
Thank You for All Your Loving,pop,Elton John,1968,3796,{},"[Verse 1]
Oh, pity me
I'm so alone and so blue
My friends have all gone away
Their friendliness too

[Pre-Chorus]
It was I on my own
With no need to belong
And I wanted to die
That's when you came along

[Chorus]
And thank you for all of your loving
Thank you for all of your tears
Thank you for all of your kindness
Thank you for being here

[Verse 2]
What a difference it made
My life has started again
And if you go away
It just won't be the same
[Pre-Chorus]
It's hard to say what I feel
When I'm by your side
You're there when I'm worried
All my troubles, in you I confide

[Chorus]
And thank you for all of your loving
Thank you for all of your tears
Thank you for all of your kindness
Thank you for being here

[Verse 1]
Oh, pity me
So alone and so blue
My friends have all gone away
Their friendliness too

[Pre-Chorus]
It was I on my own
With no need to belong
And I wanted to die
That's when you came along

[Chorus]
And thank you for all of your loving
Thank you for all of your tears
Thank you for all of your kindness
Thank you for being here
[Outro]
Thank you for all of your loving
Thank you for all of your loving
Thank you for all of your loving
Thank you for all of your loving
Thank you for all of your loving",834092,en,en,en
Explain,pop,Adi Lukovac & Ornamenti,2015,723,{},"Do you know
What happenes inside of me
Like: close the door !
It`s easy to say
When i see you
When i leave you
I`m still trying to find the way
Explain ?",1654892,en,en,en
Remedy,pop,NBT CLEVER,2021,11,{},"So when i am dow you love is the remedy
Mixing your love up with some hennessy
You ain’t never going Nowhere you’ll stay here for me
So tell me what is it and what it ain’t
But i can tell you not the same
As the others
As the others (Woah)

I can’t find a way to explain what i’m feeling deep inside
We could get away from the pain this is for us to decide
Yeah i know me and you got some issues
But everything feels way better when i’m with you
Heart don’t feel
How it’s supposed to feel
When i’m away from you
Girl what i’m i to do
Pick me up from the cold
Swear you’re everything that i know (Woah)

So when i am dow you love is the remedy
Mixing your love up with some hennessy
You ain’t never going Nowhere you’ll stay here for me
So tell me what is it and what it ain’t
But i can tell you not the same
As the others
As the others (Woah)
You could be my queen i ain’t talking bout no bel air
When you’re feeling stressed go outside and get some fresh air
Ain’t no going separate ways we can’t go there
You won’t leave my side you ain’t never going nowhere
Ride around chasing our dreams yeah babe we goals
You could be Samantha i’ll be Danny with the ghost
But i’m talking about phantom
If they talking out they mouth we gon’ take em out for ransom
I mean honestly it’s you and me tik the end of time til eternity
I mean honestly it’s u and me til the end of time let’s just keep this energy

So when i am dow you love is the remedy
Mixing your love up with some hennessy
You ain’t never going Nowhere you’ll stay here for me
So tell me what is it and what it ain’t
But i can tell you not the same
As the others
As the others (Woah)",7071286,en,en,en
Oh My Goodness,pop,The Lynns,1998,47,{},"(Peggy Lynn/Patsy Lynn/Mitch Callis)

Oh my goodness what am I gonna do
'Cause I fooled around and I fell in love with you
Hey sweet baby now you got me by my heartstrings
I'm wrapped around your finger and saying some silly things
I get a thrill when you walk in the door
Nobody's done that to me before
Oh my goodness what am I gonna do

It's almost like there's magic in the air
'Cause I felt it the first time I saw you standing there

Hey I fooled around and I fell in love with you
Oh my goodness what am I gonna do

Now here you stand my walkin', talkin' dream
Takin' my heart places it ain't ever seen
Temptin' me with every little move you make
I'm walkin' on the wild side feelin' so swept away
One little kiss was all it took
That was just enough to get me hooked
Oh my goodness what am I gonna do
It's almost like there's magic in the air
'Cause I felt it the first time I saw you standing there
Yeah, right there, yeah
Hey I fooled around and I fell in love with you
Oh my goodness what am I gonna do
Oh my goodness what am I gonna do
Oh my goodness what am I gonna do",1187694,en,en,en
Never To Fall,pop,Svartahrid,2000,19,{},"I am the son, the eternal one
I walk the border, guards the faith behind the veil of time
I am, and I will always be THERE

In times of glory there came men...dressed in white.....
With no pride...
They talked about God and of sin
And they slayed all who wouldn't believe
Their words of peace and forgiveness
Forced upon them the God of emptiness

Never to fall - Stand proud
Never to fall - Northern Gods

Now the time of change is here
God have met the northern winter

Now the time of change is here
Rise from your graves o' lords",1532380,en,en,en
Wanna Go,pop,push baby,2020,469,"{""​push baby""}","[Intro]
Yeah
So I wanna go

[Verse 1]
You call my name when it's 3am and it's cold to be outside
You turn your head when I kiss your face like I can't do nothing right (Yeah, uh)

[Pre-Chorus]
Around the city, around the block
I keep seeing your face
Please let me go
And I know I overthink a lot
But I've got a place to stay so let me know

[Chorus]
Do you wanna go
Out tonight?
Wanna go, wanna go
Out tonight
Wanna go, wanna go
[Verse 2]
Call my name when it's 3am like I'm something on the side
Show your face in the dead of night and be gone by morning light

[Pre-Chorus]
Around the city, around the block
I keep seeing your face
Please let me go
And I know I overthink a lot
But I've got a place to stay so let me know

[Chorus]
Do you wanna go
Out tonight?
Wanna go, wanna go
Out tonight
Wanna go, wanna go
Out tonight
Wanna go, wanna go
Out tonight
Wanna go, wanna go
Wanna go, wanna go
Wanna go, wanna go

[Bridge]
'Cause I wanna know, know, know, know
Do you wanna go, go, go, go?
Oh, I wanna know, know, know, know
Do you wanna go, go, go, go?
Oh, I wanna know, know, know, know
Do you wanna go, go, go, go?
'Cause I wanna know, know, know, know
Do you wanna go, go, go, go?
Oh, I wanna know
[Outro]
I got the blue light on my face
It's you in a mirror, yeah (Do you wanna go?)
I got the blue light on my face (Oh, I wanna know)
It's you in a mirror, yeah (Do you wanna go?)
I got the blue light on my face (Oh, I wanna know)
It's you in a mirror, yeah (Do you wanna go?)
I got the– (Oh, I wanna know)",6118148,en,en,en
Testament,pop,MRM (UK),2020,12,{},"Walking down the street late at night
Thinking what to say and what to write
I left a testament, it’s about the solitude you left
I am telling you I have left a testament, for you

Did you wonder how I felt last night?
Cause I have thought about it
It wasn’t right
So I have to tell you this

When love is lost
But dreams keep living
I would like to know if you can still hear me
I never knew what’s love meaning
I’ll find out if I keep swimming

My woman
This is a testament for you
My woman
This is a testament for you
My woman
This is a testament for you
My woman
This is a testament for you
Don’t know how I feel
Don’t know how I feel
Don’t know how I feel
Don’t know how I feel
Don’t know how I feel
Don’t know how I feel
Don’t know how I feel
Don’t know how I feel

My woman
This is a testament for you
My woman
This is a testament for you

Do you ever (feel the same)?",7303838,en,en,en
