,title,tag,artist,year,x_coordinate,y_coordinate
1286,The Mighty Quinn,country,Ian & Sylvia,1968,0.7,0.9
1287,Love Birds,country,Gwen Sebastian,2020,0.6,-0.4
1288,Your Cheatin Heart,country,Beck,2001,-0.8,-0.3
1289,Sunshine Overtime,country,Chris Young,2015,-0.7,-0.7
1290,Til It Wasnt,country,Chris Ruediger,2021,-0.7,-0.3
1291,That’s how much I love you,country,Jean wolf,2021,0.6,-0.3
1292,There Is a Peace,country,Barry McGuire,1977,0.9,-0.2
1293,The Grand Tour,country,Jackson Ward,2015,-0.3,-0.7
1294,North of Cheyenne,country,Town Mountain,2018,-0.8,-0.5
1295,To Have You Stay,country,Jana Kramer,2017,-0.8,-0.1
1296,Im Throwing Rice,country,Jerry Lee Lewis,1970,-0.8,-0.3
1297,Finding Efe,country,Johnny Drille,2019,-0.7,-0.3
1298,Flexin,country,Jackie Chan,2019,0.9,-0.2
1299,Black Mass,country,The eXcavators,2015,-0.4,0.7
1300,I Just Couldnt Say No,country,Alabama,1997,-0.7,0.3
1301,You Are My Sunshine,country,Zach Bryan,2022,0.9,-0.2
1302,Rolling in the Dew,country,Shirley Collins,2020,0.6,-0.4
1303,Friends With Low Platelets,country,ZDoggMD,2014,-0.7,0.3
1304,So Shadows Never Run,country,Amy Blaschke,2017,-0.8,-0.5
1305,You Are,country,Dolly Parton,1977,0.9,-0.2
1306,Cry Myself to Sleep,country,Tami Neilson,2009,-0.7,-0.3
1307,City Lights,country,Rick Trevino,1998,-0.8,-0.3
1308,If My Heart Had a Heart,country,Cassadee Pope,2019,-0.8,-0.5
1309,We’ll Always Have Each Other,country,Kenny Rogers,1958,0.9,0.6
1310,LAST WORDS,country,MBL CLAN,2022,0.7,0.9
1311,All the Other Roses Acoustic Version,country,Jayna Jennings,2019,-0.7,0.3
1312,A Different Kind Of Sad,country,Buck Owens,1977,-0.7,-0.3
1313,Thanks To Uncle John,country,Merle Haggard,2000,0.8,0.3
1314,Songs About,country,Lindi Ortega,2013,0.8,-0.5
1315,Twice As Blue,country,Goldie Hill,1960,-0.7,0.6
1316,Under the Sun,country,Ruston Kelly,2020,0.6,-0.4
1317,All Alone In This World Without You,country,Eddy Arnold,2005,-0.8,-0.1
1318,Weapon of Time,country,Redd Alexander,2020,-0.4,0.7
1319,Caught It from the Rye,country,Tr Burt,2020,-0.7,-0.3
1320,Different Now,country,Andy Gullahorn,2018,0.6,-0.4
1321,I Thought You Were The One,country,Emma White,2017,-0.8,-0.3
1322,Son Of A Son Of A Sailor Live,country,Jimmy Buffett,1978,0.7,0.6
1323,Keys To The Kingdom,country,Abigail Washburn And The Sparrow Quartet,2006,0.9,-0.2
1324,Pick Me Up On Your Way Down,country,Charlie Walker,1958,-0.7,0.6
1325,The beginning of me,country,Yentl,2017,0.9,0.6
1326,Loving Me Lonely,country,Martin McDaniels,2018,-0.3,-0.7
1327,Musta Had a Good Time,country,Parmalee,2012,0.2,1.0
1328,Ride,country,Seasick Steve,2016,0.1,-0.7
1329,Sweet Shadow Man,country,Lavender Country,2022,-0.7,0.3
1330,Old Friends,country,Willie Nelson & Roger Miller,1982,0.8,-0.5
1331,Hunger Pains,country,Confederate Railroad,1994,-0.7,-0.3
1332,Sylvias Mother,country,Bobby Bare,2015,-0.8,-0.1
1333,Graveyard Blues,country,Michael Jerome Browne,2011,-0.4,0.7
1334,Theres A Bottle Where She Used To Be,country,Carl Smith,2015,-0.8,-0.3
1335,Keeping It Small Town,country,Jason Aldean,2019,0.9,0.2
1336,Love Hangover,country,Emerson Drive,2012,-0.8,-0.1
1337,The Pain of Loving You,country,Lula Wiles,2019,-0.8,-0.1
1338,Losing Hand Live 2011,country,Willie Nelson & Wynton Marsalis,2011,-0.7,0.6
1339,Leavin The Land Of The Broken Hearted,country,BlackHawk,2002,-0.7,-0.7
1340,Drinkin Buddies,country,Logan Mize,2017,0.9,0.2
1341,Nightingale,country,Wilder Adkins,2013,-0.8,-0.5
1342,Feed Our Soul,country,Justin Russell Band,2021,0.7,0.6
1343,Bold Reynard,country,Ben Moss,2022,-0.7,-0.3
1344,Born To Love You RISE Recording,country,LANCO,2019,0.9,0.6
1345,Vinyl,country,George Canyon,2019,0.9,-0.2
1346,Do You Still Have Some Fight In You,country,Kyle Morgan,2021,-0.8,-0.5
1347,Served Cold,country,Van Susans,2013,-0.3,-0.7
1348,Wonderfilled,country,Kacey Musgraves,2013,-0.7,-0.3
1349,Certain,country,Bill Anderson,1966,-0.8,-0.1
1350,Hard Day,country,The Dead South,2017,-0.8,-0.3
1351,Circles,country,Jana Kramer,2015,0.9,0.6
1352,Meet Me by the Moonlight Alone,country,The Carter Family,1993,0.7,0.9
1353,Silver and Gold,country,Little Big Town,2014,0.6,-0.4
1354,Frosty the Snowman,country,Brenn Hill,2012,0.9,0.6
1355,Theres More to Leaving Than Just Saying Goodbye,country,Loretta Lynn,1973,-0.7,0.6
1356,Why Dont Anybody Stay Home No More,country,Margaret Lewis,1980,-0.3,-0.7
1357,Shes That Kind,country,Charley Pride,1972,0.9,0.2
1358,Settin The Woods On Fire,country,The Tractors,1994,0.7,0.9
1359,Lies,country,Amber Lynn Nicol,2011,-0.6,0.7
1360,Bangladesh,country,Kids Learning Tube,2018,0.7,0.9
1361,Will You Miss Me When Im Gone?,country,The Carter Family,1993,-0.8,-0.5
1362,Slow Dancing in a Burning Room,country,Lindsay Ell,2018,-0.3,-0.7
1363,I Dont Wanna Go To Heaven Choir Version,country,Nate Smith (Country),2022,0.9,-0.2
1364,Sin na sin Tommy Maverick cover,country,Mon Lee,2017,-0.4,0.7
1365,The Wheel Of Hurt,country,Bill Anderson,1967,-0.6,0.5
1366,Silent Night,country,Reba McEntire,1987,0.6,-0.4
1367,You Didnt Have To Go,country,Jimmy C. Newman,2020,-0.7,0.6
1368,Blue Hills In The Distance,country,Slim Dusty,2004,0.6,-0.3
1369,Leaving for Ohio,country,The Miners,2021,-0.7,-0.3
1370,How Not To,country,Dan + Shay,2016,-0.8,-0.1
1371,Marie’s Wedding,country,The Clancy Brothers & Tommy Makem,1963,0.9,0.6
1372,Ive Almost Jack Daniels Drowned,country,John Anderson,1981,-0.8,-0.3
1373,Together Were One,country,Bill Anderson & Jan Howard,1970,0.8,0.3
1375,Ill Start Believing In You,country,Hank Thompson,2000,-0.6,0.5
1376,Nothing To Do With You,country,Spencer Crandall,2021,0.8,-0.5
1377,Perfect Timing,country,Drive-By Truckers,2008,-0.3,-0.7
1378,Brown Bottle Flu,country,Kevin Kerby,2012,-0.8,-0.5
1379,Off-White,country,Pam Tillis,2001,0.6,-0.4
1380,If You Were You,country,Robert Vincent,2020,-0.8,-0.3
1381,Detroit Michigan,country,Kid Rock,2012,0.7,0.9
1382,Rough On The Living,country,Bobby Bare,1980,-0.7,-0.3
1383,Irish Medley,country,The Chicks,1992,-0.3,-0.7
1384,Away in a Manger,country,Ricky Skaggs,2003,0.6,-0.4
1385,Selfish,country,Stephanie Quayle,2017,0.3,0.7
1386,Love Me Or Dont,country,Jason Aldean,2018,0.1,-0.7
1387,Take Me Away Now,country,Grady Spencer & the Work,2021,0.6,-0.3
1388,That Song Is Driving Me Crazy,country,Tom T. Hall,1974,0.7,0.9
1389,Wake Me Up,country,Tebey,2014,-0.3,-0.7
1390,Felonious,country,Howe Gelb,2003,-0.7,-0.3
1391,Safe With Me Live,country,Shea & Tobias,2020,-0.8,-0.3
1392,Pulaski,country,Drive-By Truckers,2011,-0.3,-0.7
1393,Witness,country,Brush Arbor,1981,0.7,0.9
1394,A Good Man Is So Hard To Find,country,Dixie J Baker,2019,0.6,-0.4
1395,The Bigger the Fool the Harder the Fall,country,Kris Kristofferson & Brenda Lee,1982,-0.7,0.6
1396,Ruby Are You Mad,country,The Osborne Brothers,1959,-0.7,0.3
1397,A New Love,country,Reba McEntire,1989,-0.7,-0.3
1398,Touchdown Town,country,Aaron Watson,2020,0.7,0.9
1399,Nothing Like An Ocean,country,The Rankin Family,2007,-0.3,-0.7
