,title,tag,artist,year,x_coordinate,y_coordinate
675,Smashing Pumpkins’s “Daydream”,rock,Mr. Mendola,2014,-0.8,-0.1
676,Honey White,rock,Morphine,1995,-0.7,-0.3
677,Communion with the Void,rock,Antediluvian,2012,-0.8,-0.3
678,Waiting For Tomorrow,rock,Urbanites,2018,-0.8,-0.1
679,Rise,rock,Neither/neither World,2003,0.7,0.9
680,Wanna luv u,rock,Superlove (UK),2022,-0.7,0.3
681,Dont Get Funny with Me,rock,The Cramps,1991,-0.6,0.5
682,Carry On,rock,Mezmerized,2020,0.7,0.9
683,Fat City,rock,Airbourne,2007,0.7,0.6
684,Didnt It Rain,rock,Louis Armstrong,1958,-0.8,-0.5
685,With A Girl Like You,rock,The Legend (rock band),2021,0.8,-0.5
686,Dopey Joe,rock,The Velvet Underground,1973,-0.6,0.5
687,Rooms,rock,Harvey Parker,2020,-0.8,-0.3
688,Rainbow,rock,Kim Mitchell,1995,0.7,0.9
689,The Rabbit Hole,rock,In This Moment,2008,0.8,-0.5
690,Vampiretown,rock,Forrister,2013,-0.8,-0.1
691,Acquaintance,rock,Atlantic Wasteland,2019,-0.7,0.6
692,Take On Me,rock,Jonas Brothers,2013,-0.7,-0.3
693,Forward,rock,Flatfoot 56,2017,0.7,0.9
694,Without You,rock,Mike Shupp,1997,-0.7,-0.3
695,First Impressions,rock,The Publics,2019,-0.6,0.5
696,Execution,rock,Grave Digger (band),2010,-0.6,0.7
697,Great Soul,rock,The Tragically Hip,2016,-0.3,-0.7
698,Lay By Me,rock,Firekid,2015,0.6,-0.3
699,Warriors  Queens,rock,The Ninja (Band),1985,0.3,0.7
700,Smaller and Smaller,rock,Faith No More,1992,-0.8,-0.3
701,I Just Knew,rock,Andrew VanWyngarden,2014,-0.7,-0.3
702,Russian Winter,rock,London (Band),1990,-0.7,0.3
703,Falling,rock,Waste Of Mind,2018,0.7,0.9
704,The Straight and the Narrow,rock,Spiritualized,2001,-0.8,-0.5
705,Cloak and Dagger,rock,Rory Gallagher,1978,0.9,-0.2
706,Running,rock,Austin Stone Worship,2020,0.8,-0.5
707,Swing by Swing,rock,Like Torches,2016,-0.8,-0.3
708,Shine On,rock,Impellitteri,2018,0.7,0.6
709,Wake Me,rock,Bleachers,2014,-0.8,-0.5
710,Chessman Red Monday,rock,Amputated Genitals,2005,-0.2,0.7
711,Someone Special,rock,Fr Leo Watt & The Clefs,1971,0.9,-0.2
712,Stoned in Saigon,rock,Fresh,1971,-0.4,0.7
713,One More Chance,rock,Big Wreck,2019,-0.7,0.6
714,Waster,rock,Max Bemis and the Painful Splits,2010,-0.8,-0.3
715,Halloween 18,rock,Early Eyes,2021,-0.6,0.5
716,Up on High,rock,Daniel Rossen,2012,0.8,-0.5
717,Showdown,rock,Boy & Bear,2015,-0.4,0.7
718,Baby Please Dont Go,rock,AC/DC,1975,-0.8,-0.1
719,Mix Up Mix Up,rock,Bob Marley & The Wailers,1983,-0.6,0.5
720,James K. Polk,rock,They Might Be Giants,1996,0.7,0.6
721,End In Fire,rock,Alphawolves,2018,-0.8,-0.5
722,What Are You Afraid Of?,rock,Emphatic,2019,-0.4,0.7
723,Impious Plague in Catacombs,rock,Necrowretch,2013,-0.4,0.7
724,Zordon,rock,Munky,2019,-0.8,-0.5
725,Ode To Sleep,rock,twenty one pilots,2011,-0.8,-0.3
726,High School Drama Violence,rock,Clay J Gladstone,2021,-0.8,-0.1
727,Good Life,rock,Ron Pope,2018,0.9,-0.2
728,Rust,rock,Miss May I,2010,-0.4,0.7
729,5 Reasons,rock,Meg & Dia,2009,-0.7,-0.3
730,Your Property,rock,Swans,1984,-0.6,0.5
731,You Know You,rock,Agatha (Band),2015,-0.8,-0.5
732,Red War,rock,Soulfly,2015,-0.4,0.7
733,In the City,rock,Big Boys,1980,0.7,0.9
734,Godless,rock,The Crown (Band),1995,-0.8,-0.3
735,Just Couldnt Say,rock,Tim Staffell,2003,-0.8,-0.1
736,10:00 AM,rock,State Champs,2020,-0.7,0.6
737,Chorus and the Ring,rock,R.E.M.,2001,-0.4,0.7
738,Changes,rock,Captain Marryat,1974,0.8,-0.5
739,Walk On Water,rock,Nonpoint,2016,-0.6,0.5
740,Psychosomaticism,rock,Kylie V,2018,-0.8,-0.3
741,Wheres Vince?,rock,The Smashing Pumpkins,2016,-0.2,0.7
742,Dreams,rock,Country Joe and the Fish,1977,-0.8,-0.5
743,Sensory Overload,rock,Kuritarvitaja,2022,-0.8,-0.1
744,Double Helix,rock,Space Unicorn on Fire,2016,0.7,0.9
745,Sleeping Without a Pillow,rock,Ronoc 'N' Roll,2018,-0.8,-0.3
746,Restraint,rock,Mallcops,2020,-0.7,-0.3
747,Rending,rock,Lo-Ruhamah,2017,-0.4,0.7
748,Juvenile,rock,Jonathan (HRV),2015,-0.3,-0.7
749,A View to a Kill,rock,Diablo (band),2006,-0.4,0.7
750,Keep Nothing Hushed No No No,rock,Coley Mixan,2020,0.8,0.3
751,Hammered Demo,rock,Mtley Cre,1994,-0.6,0.7
752,Bones,rock,Matt McAndrew,2016,0.8,-0.5
753,Nostalgia,rock,Mild West,2019,-0.3,-0.7
754,Breakfast with the King,rock,Goatsnake,2020,-0.7,-0.3
755,Everybody Else But Me,rock,McKendrick,2000,-0.8,-0.3
756,Unsung Beauty,rock,I Declare War,2006,-0.8,-0.5
757,The Eagle of the Star,rock,Dwarrowdelf,2020,-0.2,0.7
758,Distaste for Ordinary Scum,rock,Those Who Bring the Torture,2007,-0.6,0.7
759,Sensation,rock,Animal Flag,2016,-0.7,0.6
760,Impermanence Streakt Through Marble,rock,Falls of Rauros,2017,-0.8,-0.3
761,Story of an Immigrant Acoustic,rock,Civil Twilight,2016,0.7,0.9
762,Try to Believe,rock,Y&T,1997,-0.3,-0.7
763,Working Class Hero,rock,Jimmy Barnes,2019,-0.6,0.5
764,Motorology,rock,Ozma,2007,-0.8,-0.3
765,Bliss,rock,Purple (Texas Music),2016,-0.2,0.7
766,Dissolver,rock,Perennial,2017,0.7,0.9
767,This Christmas,rock,Majestica,2021,-0.8,-0.5
768,Savage,rock,Ben Khan,2014,-0.6,0.7
769,Go Go Go,rock,Helena Arlock,2010,-0.7,-0.3
770,One More Heartache,rock,Marvin Gaye,1966,-0.8,-0.1
771,RISE,rock,I Prevail,2016,0.7,0.9
772,Saturday Night,rock,Cold Chisel,1984,-0.7,-0.3
773,No More Sorrow,rock,Linkin Park,2007,-0.6,0.7
774,Come Home,rock,OneRepublic,2007,-0.3,-0.7
775,Holding on,rock,Lynx (1976),1976,-0.8,-0.3
776,S.M.D.,rock,Solstice (USA),1992,-0.6,0.5
777,Alive,rock,Maggie Gently,2020,-0.7,0.3
778,The Wronged,rock,Thrown into Exile,2020,-0.8,-0.5
779,Prelude,rock,Scary Kids Scaring Kids,2007,-0.7,0.3
780,Resurrection Of Ancient Evil,rock,Ezurate,2007,-0.6,0.7
781,Oh Woman,rock,Newcomers Club,2018,-0.6,0.5
782,Penny Lane,rock,Aim High,2021,-0.6,0.7
783,Serrated,rock,Eldest 11,2013,-0.6,0.5
784,Clouds Over California,rock,DevilDriver,2007,-0.8,-0.5
785,Imminent War,rock,Hope for the Dying,2011,-0.3,-0.7
786,Anchored,rock,Ghost Brigade,2014,-0.8,-0.3
787,Sad people blue eyes,rock,Forever Unknown,2022,-0.8,-0.3
788,One of Those Things,rock,Sanctus Real,2013,0.7,0.9
789,Wax Rose Saturday,rock,Mux Mool,2010,0.7,0.9
790,Lenora,rock,Madam Macadam,2012,0.7,0.6
791,Crawling Back to You Alternate Version,rock,Tom Petty,2020,0.1,-0.7
792,I Just Want to Love You,rock,Leave it Blank (band),2018,0.3,0.7
793,Montaigne,rock,Pinback,1999,-0.7,0.6
794,Back Pages,rock,The Brandals,2021,-0.7,0.3
795,Dont Forget Me,rock,Neil Diamond,2010,-0.3,-0.7
796,Riding with the King,rock,B.B. King & Eric Clapton,2000,0.7,0.9
797,Take Me to Yolita,rock,Robert Pollard,2015,-0.7,0.6
798,Holly Golightly,rock,Frnois and The Atlas Mountains,2021,0.6,-0.4
799,Problems,rock,Local Violence,2021,-0.8,-0.3
